Day,Week,Account name,Customer ID,Currency code,Cost,Clicks,Impr.
2011-11-21,2011-11-21,Impact Radius,278-804-3504,USD,155.41,25,"1,540"
2011-11-22,2011-11-21,Impact Radius,278-804-3504,USD,155.03,30,"1,318"
2011-11-23,2011-11-21,Impact Radius,278-804-3504,USD,135.20,26,"1,033"
2011-11-24,2011-11-21,Impact Radius,278-804-3504,USD,66.33,12,715
2011-11-25,2011-11-21,Impact Radius,278-804-3504,USD,100.28,20,715
2011-11-26,2011-11-21,Impact Radius,278-804-3504,USD,129.45,21,735
2011-11-27,2011-11-21,Impact Radius,278-804-3504,USD,190.91,34,921
2011-11-28,2011-11-28,Impact Radius,278-804-3504,USD,271.34,46,"1,595"
2011-11-29,2011-11-28,Impact Radius,278-804-3504,USD,190.30,33,"1,649"
2011-11-30,2011-11-28,Impact Radius,278-804-3504,USD,234.30,44,"1,593"
2011-12-01,2011-11-28,Impact Radius,278-804-3504,USD,296.06,47,"1,487"
2011-12-02,2011-11-28,Impact Radius,278-804-3504,USD,147.76,20,"1,328"
2011-12-03,2011-11-28,Impact Radius,278-804-3504,USD,119.44,20,876
2011-12-04,2011-11-28,Impact Radius,278-804-3504,USD,118.92,17,956
2011-12-05,2011-12-05,Impact Radius,278-804-3504,USD,296.85,41,"1,629"
2011-12-06,2011-12-05,Impact Radius,278-804-3504,USD,242.52,42,"1,581"
2011-12-07,2011-12-05,Impact Radius,278-804-3504,USD,263.18,46,"1,689"
2011-12-08,2011-12-05,Impact Radius,278-804-3504,USD,246.19,39,"1,515"
2011-12-09,2011-12-05,Impact Radius,278-804-3504,USD,166.04,28,"1,375"
2011-12-10,2011-12-05,Impact Radius,278-804-3504,USD,91.09,14,843
2011-12-11,2011-12-05,Impact Radius,278-804-3504,USD,119.37,21,809
2011-12-12,2011-12-12,Impact Radius,278-804-3504,USD,229.13,34,"1,458"
2011-12-13,2011-12-12,Impact Radius,278-804-3504,USD,238.90,39,"1,802"
2011-12-14,2011-12-12,Impact Radius,278-804-3504,USD,279.27,51,"1,683"
2011-12-15,2011-12-12,Impact Radius,278-804-3504,USD,191.85,29,"1,406"
2011-12-16,2011-12-12,Impact Radius,278-804-3504,USD,225.42,34,"1,235"
2011-12-17,2011-12-12,Impact Radius,278-804-3504,USD,122.85,26,773
2011-12-18,2011-12-12,Impact Radius,278-804-3504,USD,34.00,8,234
2012-01-05,2012-01-02,Impact Radius,278-804-3504,USD,79.80,14,426
2012-01-06,2012-01-02,Impact Radius,278-804-3504,USD,198.36,30,"1,240"
2012-01-07,2012-01-02,Impact Radius,278-804-3504,USD,126.28,26,850
2012-01-08,2012-01-02,Impact Radius,278-804-3504,USD,144.77,28,908
2012-01-09,2012-01-09,Impact Radius,278-804-3504,USD,228.72,42,"1,683"
2012-01-10,2012-01-09,Impact Radius,278-804-3504,USD,486.17,100,"4,236"
2012-01-11,2012-01-09,Impact Radius,278-804-3504,USD,684.85,148,"7,978"
2012-01-12,2012-01-09,Impact Radius,278-804-3504,USD,673.64,187,"7,637"
2012-01-13,2012-01-09,Impact Radius,278-804-3504,USD,591.86,161,"7,403"
2012-01-14,2012-01-09,Impact Radius,278-804-3504,USD,522.65,149,"5,777"
2012-01-15,2012-01-09,Impact Radius,278-804-3504,USD,473.21,136,"5,684"
2012-01-16,2012-01-16,Impact Radius,278-804-3504,USD,688.58,199,"7,924"
2012-01-17,2012-01-16,Impact Radius,278-804-3504,USD,801.31,207,"8,704"
2012-01-18,2012-01-16,Impact Radius,278-804-3504,USD,856.54,222,"8,344"
2012-01-19,2012-01-16,Impact Radius,278-804-3504,USD,717.62,196,"8,211"
2012-01-20,2012-01-16,Impact Radius,278-804-3504,USD,646.36,188,"7,049"
2012-01-21,2012-01-16,Impact Radius,278-804-3504,USD,644.88,179,"6,359"
2012-01-22,2012-01-16,Impact Radius,278-804-3504,USD,695.93,195,"7,159"
2012-01-23,2012-01-23,Impact Radius,278-804-3504,USD,780.23,202,"8,902"
2012-01-24,2012-01-23,Impact Radius,278-804-3504,USD,822.49,207,"8,109"
2012-01-25,2012-01-23,Impact Radius,278-804-3504,USD,670.42,174,"7,241"
2012-01-26,2012-01-23,Impact Radius,278-804-3504,USD,682.92,183,"7,133"
2012-01-27,2012-01-23,Impact Radius,278-804-3504,USD,730.12,186,"6,529"
2012-01-28,2012-01-23,Impact Radius,278-804-3504,USD,568.99,167,"5,192"
2012-01-29,2012-01-23,Impact Radius,278-804-3504,USD,564.28,171,"6,783"
2012-01-30,2012-01-30,Impact Radius,278-804-3504,USD,840.36,218,"8,449"
2012-01-31,2012-01-30,Impact Radius,278-804-3504,USD,62.09,18,602
2012-02-01,2012-01-30,Impact Radius,278-804-3504,USD,65.85,12,"1,213"
2012-02-02,2012-01-30,Impact Radius,278-804-3504,USD,212.33,33,"1,391"
2012-02-03,2012-01-30,Impact Radius,278-804-3504,USD,98.80,16,897
2012-02-04,2012-01-30,Impact Radius,278-804-3504,USD,0.00,0,9
2012-02-05,2012-01-30,Impact Radius,278-804-3504,USD,0.00,0,36
2012-02-06,2012-02-06,Impact Radius,278-804-3504,USD,279.83,43,"1,263"
2012-02-07,2012-02-06,Impact Radius,278-804-3504,USD,146.94,30,"1,349"
2012-02-08,2012-02-06,Impact Radius,278-804-3504,USD,141.80,27,"1,375"
2012-02-09,2012-02-06,Impact Radius,278-804-3504,USD,137.30,22,"1,284"
2012-02-10,2012-02-06,Impact Radius,278-804-3504,USD,106.81,19,"1,036"
2012-02-11,2012-02-06,Impact Radius,278-804-3504,USD,1.97,1,15
2012-02-12,2012-02-06,Impact Radius,278-804-3504,USD,0.00,0,15
2012-02-13,2012-02-13,Impact Radius,278-804-3504,USD,176.30,25,"1,488"
2012-02-14,2012-02-13,Impact Radius,278-804-3504,USD,189.45,21,"1,145"
2012-02-15,2012-02-13,Impact Radius,278-804-3504,USD,179.55,25,"1,464"
2012-02-16,2012-02-13,Impact Radius,278-804-3504,USD,188.03,34,"1,796"
2012-02-17,2012-02-13,Impact Radius,278-804-3504,USD,109.81,16,996
2012-02-18,2012-02-13,Impact Radius,278-804-3504,USD,0.00,0,11
2012-02-19,2012-02-13,Impact Radius,278-804-3504,USD,0.00,0,3
2012-02-20,2012-02-20,Impact Radius,278-804-3504,USD,137.45,20,"1,072"
2012-02-21,2012-02-20,Impact Radius,278-804-3504,USD,87.10,16,"1,057"
2012-02-22,2012-02-20,Impact Radius,278-804-3504,USD,104.58,24,"1,176"
2012-02-23,2012-02-20,Impact Radius,278-804-3504,USD,47.69,13,"1,171"
2012-02-24,2012-02-20,Impact Radius,278-804-3504,USD,58.18,13,"1,326"
2012-02-25,2012-02-20,Impact Radius,278-804-3504,USD,0.00,0,3
2012-02-26,2012-02-20,Impact Radius,278-804-3504,USD,0,0,0
2012-02-27,2012-02-27,Impact Radius,278-804-3504,USD,97.66,24,"1,101"
2012-02-28,2012-02-27,Impact Radius,278-804-3504,USD,109.76,20,"1,013"
2012-02-29,2012-02-27,Impact Radius,278-804-3504,USD,76.43,14,"1,018"
2012-03-01,2012-02-27,Impact Radius,278-804-3504,USD,39.16,11,"1,037"
2012-03-02,2012-02-27,Impact Radius,278-804-3504,USD,67.04,15,632
2012-03-03,2012-02-27,Impact Radius,278-804-3504,USD,0.00,0,3
2012-03-04,2012-02-27,Impact Radius,278-804-3504,USD,0.00,0,4
2012-03-05,2012-03-05,Impact Radius,278-804-3504,USD,123.72,27,"1,048"
2012-03-06,2012-03-05,Impact Radius,278-804-3504,USD,79.84,16,884
2012-03-07,2012-03-05,Impact Radius,278-804-3504,USD,63.41,13,849
2012-03-08,2012-03-05,Impact Radius,278-804-3504,USD,26.54,8,852
2012-03-09,2012-03-05,Impact Radius,278-804-3504,USD,58.53,10,608
2012-03-10,2012-03-05,Impact Radius,278-804-3504,USD,0.00,0,2
2012-03-11,2012-03-05,Impact Radius,278-804-3504,USD,0.00,0,2
2012-03-12,2012-03-12,Impact Radius,278-804-3504,USD,76.10,17,965
2012-03-13,2012-03-12,Impact Radius,278-804-3504,USD,124.61,22,955
2012-03-14,2012-03-12,Impact Radius,278-804-3504,USD,48.47,9,836
2012-03-15,2012-03-12,Impact Radius,278-804-3504,USD,84.31,18,832
2012-03-16,2012-03-12,Impact Radius,278-804-3504,USD,50.85,9,557
2012-03-17,2012-03-12,Impact Radius,278-804-3504,USD,0.00,0,1
2012-03-18,2012-03-12,Impact Radius,278-804-3504,USD,0.00,0,1
2012-03-19,2012-03-19,Impact Radius,278-804-3504,USD,105.70,19,905
2012-03-20,2012-03-19,Impact Radius,278-804-3504,USD,133.04,23,897
2012-03-21,2012-03-19,Impact Radius,278-804-3504,USD,44.83,9,852
2012-03-22,2012-03-19,Impact Radius,278-804-3504,USD,56.79,14,817
2012-03-23,2012-03-19,Impact Radius,278-804-3504,USD,46.22,10,583
2012-03-24,2012-03-19,Impact Radius,278-804-3504,USD,0.00,0,1
2012-03-25,2012-03-19,Impact Radius,278-804-3504,USD,0.00,0,1
2012-03-26,2012-03-26,Impact Radius,278-804-3504,USD,69.89,11,"1,198"
2012-03-27,2012-03-26,Impact Radius,278-804-3504,USD,119.45,19,"1,125"
2012-03-28,2012-03-26,Impact Radius,278-804-3504,USD,107.53,20,"1,073"
2012-03-29,2012-03-26,Impact Radius,278-804-3504,USD,60.41,15,"1,077"
2012-03-30,2012-03-26,Impact Radius,278-804-3504,USD,49.74,10,773
2012-03-31,2012-03-26,Impact Radius,278-804-3504,USD,0.00,0,1
2012-04-01,2012-03-26,Impact Radius,278-804-3504,USD,0.00,0,5
2012-04-02,2012-04-02,Impact Radius,278-804-3504,USD,76.20,13,"1,005"
2012-04-03,2012-04-02,Impact Radius,278-804-3504,USD,92.23,17,935
2012-04-04,2012-04-02,Impact Radius,278-804-3504,USD,139.54,22,960
2012-04-05,2012-04-02,Impact Radius,278-804-3504,USD,66.66,15,940
2012-04-06,2012-04-02,Impact Radius,278-804-3504,USD,57.51,12,663
2012-04-07,2012-04-02,Impact Radius,278-804-3504,USD,0.00,0,2
2012-04-08,2012-04-02,Impact Radius,278-804-3504,USD,0.00,0,1
2012-04-09,2012-04-09,Impact Radius,278-804-3504,USD,138.85,25,"1,845"
2012-04-10,2012-04-09,Impact Radius,278-804-3504,USD,66.10,16,"2,304"
2012-04-11,2012-04-09,Impact Radius,278-804-3504,USD,106.93,18,"2,405"
2012-04-12,2012-04-09,Impact Radius,278-804-3504,USD,74.59,18,"2,329"
2012-04-13,2012-04-09,Impact Radius,278-804-3504,USD,68.51,15,"2,012"
2012-04-14,2012-04-09,Impact Radius,278-804-3504,USD,0.00,0,1
2012-04-15,2012-04-09,Impact Radius,278-804-3504,USD,0.00,0,2
2012-04-16,2012-04-16,Impact Radius,278-804-3504,USD,82.92,16,"2,262"
2012-04-17,2012-04-16,Impact Radius,278-804-3504,USD,89.63,18,"1,999"
2012-04-18,2012-04-16,Impact Radius,278-804-3504,USD,109.33,21,"2,805"
2012-04-19,2012-04-16,Impact Radius,278-804-3504,USD,139.71,25,"2,820"
2012-04-20,2012-04-16,Impact Radius,278-804-3504,USD,63.63,13,"1,943"
2012-04-21,2012-04-16,Impact Radius,278-804-3504,USD,0.00,0,1
2012-04-22,2012-04-16,Impact Radius,278-804-3504,USD,0.00,0,1
2012-04-23,2012-04-23,Impact Radius,278-804-3504,USD,145.79,29,"2,795"
2012-04-24,2012-04-23,Impact Radius,278-804-3504,USD,115.62,21,"3,044"
2012-04-25,2012-04-23,Impact Radius,278-804-3504,USD,140.88,25,"2,786"
2012-04-26,2012-04-23,Impact Radius,278-804-3504,USD,130.06,27,"2,931"
2012-04-27,2012-04-23,Impact Radius,278-804-3504,USD,79.53,20,"2,436"
2012-04-28,2012-04-23,Impact Radius,278-804-3504,USD,0.00,0,9
2012-04-29,2012-04-23,Impact Radius,278-804-3504,USD,0,0,0
2012-04-30,2012-04-30,Impact Radius,278-804-3504,USD,92.72,17,"2,026"
2012-05-01,2012-04-30,Impact Radius,278-804-3504,USD,126.70,21,"2,300"
2012-05-02,2012-04-30,Impact Radius,278-804-3504,USD,96.84,18,"2,298"
2012-05-03,2012-04-30,Impact Radius,278-804-3504,USD,93.15,17,"2,096"
2012-05-04,2012-04-30,Impact Radius,278-804-3504,USD,75.30,17,"2,051"
2012-05-05,2012-04-30,Impact Radius,278-804-3504,USD,0,0,0
2012-05-06,2012-04-30,Impact Radius,278-804-3504,USD,0.00,0,4
2012-05-07,2012-05-07,Impact Radius,278-804-3504,USD,67.08,13,"2,340"
2012-05-08,2012-05-07,Impact Radius,278-804-3504,USD,73.03,17,"2,361"
2012-05-09,2012-05-07,Impact Radius,278-804-3504,USD,159.37,22,"2,570"
2012-05-10,2012-05-07,Impact Radius,278-804-3504,USD,56.73,13,"2,017"
2012-05-11,2012-05-07,Impact Radius,278-804-3504,USD,36.48,8,"1,742"
2012-05-12,2012-05-07,Impact Radius,278-804-3504,USD,0.00,0,7
2012-05-13,2012-05-07,Impact Radius,278-804-3504,USD,0.00,0,5
2012-05-14,2012-05-14,Impact Radius,278-804-3504,USD,104.34,19,"2,337"
2012-05-15,2012-05-14,Impact Radius,278-804-3504,USD,126.07,27,"1,948"
2012-05-16,2012-05-14,Impact Radius,278-804-3504,USD,85.52,18,"2,140"
2012-05-17,2012-05-14,Impact Radius,278-804-3504,USD,62.63,13,"2,122"
2012-05-18,2012-05-14,Impact Radius,278-804-3504,USD,73.41,15,"1,662"
2012-05-19,2012-05-14,Impact Radius,278-804-3504,USD,0.00,0,6
2012-05-20,2012-05-14,Impact Radius,278-804-3504,USD,0.00,0,3
2012-05-21,2012-05-21,Impact Radius,278-804-3504,USD,65.60,14,"2,418"
2012-05-22,2012-05-21,Impact Radius,278-804-3504,USD,88.34,19,"2,326"
2012-05-23,2012-05-21,Impact Radius,278-804-3504,USD,110.39,22,"2,318"
2012-05-24,2012-05-21,Impact Radius,278-804-3504,USD,97.58,19,"2,305"
2012-05-25,2012-05-21,Impact Radius,278-804-3504,USD,32.75,7,"1,364"
2012-05-26,2012-05-21,Impact Radius,278-804-3504,USD,0.00,0,11
2012-05-27,2012-05-21,Impact Radius,278-804-3504,USD,0.00,0,8
2012-05-28,2012-05-28,Impact Radius,278-804-3504,USD,27.38,5,"1,219"
2012-05-29,2012-05-28,Impact Radius,278-804-3504,USD,104.89,20,"2,139"
2012-05-30,2012-05-28,Impact Radius,278-804-3504,USD,66.01,15,"2,214"
2012-05-31,2012-05-28,Impact Radius,278-804-3504,USD,105.41,21,"2,142"
2012-06-01,2012-05-28,Impact Radius,278-804-3504,USD,41.91,7,"1,791"
2012-06-02,2012-05-28,Impact Radius,278-804-3504,USD,0.00,0,3
2012-06-03,2012-05-28,Impact Radius,278-804-3504,USD,0.00,0,5
2012-06-04,2012-06-04,Impact Radius,278-804-3504,USD,63.96,12,"2,103"
2012-06-05,2012-06-04,Impact Radius,278-804-3504,USD,41.40,8,"2,119"
2012-06-06,2012-06-04,Impact Radius,278-804-3504,USD,102.07,20,"1,890"
2012-06-07,2012-06-04,Impact Radius,278-804-3504,USD,143.08,23,"2,290"
2012-06-08,2012-06-04,Impact Radius,278-804-3504,USD,81.16,16,"1,860"
2012-06-09,2012-06-04,Impact Radius,278-804-3504,USD,0.00,0,5
2012-06-10,2012-06-04,Impact Radius,278-804-3504,USD,2.61,1,7
2012-06-11,2012-06-11,Impact Radius,278-804-3504,USD,127.30,24,"2,463"
2012-06-12,2012-06-11,Impact Radius,278-804-3504,USD,117.37,23,"2,624"
2012-06-13,2012-06-11,Impact Radius,278-804-3504,USD,148.12,27,"2,760"
2012-06-14,2012-06-11,Impact Radius,278-804-3504,USD,79.89,18,"2,334"
2012-06-15,2012-06-11,Impact Radius,278-804-3504,USD,59.87,15,"1,796"
2012-06-16,2012-06-11,Impact Radius,278-804-3504,USD,0.00,0,8
2012-06-17,2012-06-11,Impact Radius,278-804-3504,USD,0.00,0,3
2012-06-18,2012-06-18,Impact Radius,278-804-3504,USD,88.36,23,"3,443"
2012-06-19,2012-06-18,Impact Radius,278-804-3504,USD,104.71,21,"3,247"
2012-06-20,2012-06-18,Impact Radius,278-804-3504,USD,107.69,20,"2,945"
2012-06-21,2012-06-18,Impact Radius,278-804-3504,USD,103.69,24,"2,566"
2012-06-22,2012-06-18,Impact Radius,278-804-3504,USD,84.73,15,"2,067"
2012-06-23,2012-06-18,Impact Radius,278-804-3504,USD,0.00,0,2
2012-06-24,2012-06-18,Impact Radius,278-804-3504,USD,0.00,0,1
2012-06-25,2012-06-25,Impact Radius,278-804-3504,USD,72.77,19,"3,160"
2012-06-26,2012-06-25,Impact Radius,278-804-3504,USD,98.76,22,"2,794"
2012-06-27,2012-06-25,Impact Radius,278-804-3504,USD,119.63,21,"3,228"
2012-06-28,2012-06-25,Impact Radius,278-804-3504,USD,105.22,24,"2,759"
2012-06-29,2012-06-25,Impact Radius,278-804-3504,USD,59.59,12,"2,793"
2012-06-30,2012-06-25,Impact Radius,278-804-3504,USD,0.00,0,7
2012-07-01,2012-06-25,Impact Radius,278-804-3504,USD,0.00,0,4
2012-07-02,2012-07-02,Impact Radius,278-804-3504,USD,103.19,23,"3,317"
2012-07-03,2012-07-02,Impact Radius,278-804-3504,USD,153.60,25,"2,365"
2012-07-04,2012-07-02,Impact Radius,278-804-3504,USD,64.27,19,"1,539"
2012-07-05,2012-07-02,Impact Radius,278-804-3504,USD,89.37,18,"2,781"
2012-07-06,2012-07-02,Impact Radius,278-804-3504,USD,71.09,15,"2,459"
2012-07-07,2012-07-02,Impact Radius,278-804-3504,USD,0.00,0,5
2012-07-08,2012-07-02,Impact Radius,278-804-3504,USD,0.00,0,11
2012-07-09,2012-07-09,Impact Radius,278-804-3504,USD,113.40,21,"2,980"
2012-07-10,2012-07-09,Impact Radius,278-804-3504,USD,144.92,25,"3,736"
2012-07-11,2012-07-09,Impact Radius,278-804-3504,USD,114.54,23,"3,540"
2012-07-12,2012-07-09,Impact Radius,278-804-3504,USD,105.42,22,"2,736"
2012-07-13,2012-07-09,Impact Radius,278-804-3504,USD,44.49,8,"2,036"
2012-07-14,2012-07-09,Impact Radius,278-804-3504,USD,0.00,0,6
2012-07-15,2012-07-09,Impact Radius,278-804-3504,USD,0.00,0,2
2012-07-16,2012-07-16,Impact Radius,278-804-3504,USD,115.12,25,"3,297"
2012-07-17,2012-07-16,Impact Radius,278-804-3504,USD,108.49,20,"2,894"
2012-07-18,2012-07-16,Impact Radius,278-804-3504,USD,79.00,16,"3,168"
2012-07-19,2012-07-16,Impact Radius,278-804-3504,USD,127.50,24,"3,322"
2012-07-20,2012-07-16,Impact Radius,278-804-3504,USD,63.18,12,"2,255"
2012-07-21,2012-07-16,Impact Radius,278-804-3504,USD,0.00,0,13
2012-07-22,2012-07-16,Impact Radius,278-804-3504,USD,0.00,0,4
2012-07-23,2012-07-23,Impact Radius,278-804-3504,USD,148.00,30,"3,102"
2012-07-24,2012-07-23,Impact Radius,278-804-3504,USD,155.49,31,"3,344"
2012-07-25,2012-07-23,Impact Radius,278-804-3504,USD,110.49,21,"3,254"
2012-07-26,2012-07-23,Impact Radius,278-804-3504,USD,129.98,27,"2,854"
2012-07-27,2012-07-23,Impact Radius,278-804-3504,USD,105.11,20,"2,539"
2012-07-28,2012-07-23,Impact Radius,278-804-3504,USD,0.00,0,6
2012-07-29,2012-07-23,Impact Radius,278-804-3504,USD,0.00,0,10
2012-07-30,2012-07-30,Impact Radius,278-804-3504,USD,227.84,42,"3,324"
2012-07-31,2012-07-30,Impact Radius,278-804-3504,USD,89.60,22,"3,192"
2012-08-01,2012-07-30,Impact Radius,278-804-3504,USD,135.61,25,"3,172"
2012-08-02,2012-07-30,Impact Radius,278-804-3504,USD,145.52,27,"3,036"
2012-08-03,2012-07-30,Impact Radius,278-804-3504,USD,143.29,26,"2,185"
2012-08-04,2012-07-30,Impact Radius,278-804-3504,USD,0.00,0,2
2012-08-05,2012-07-30,Impact Radius,278-804-3504,USD,2.41,1,4
2012-08-06,2012-08-06,Impact Radius,278-804-3504,USD,169.32,29,"3,723"
2012-08-07,2012-08-06,Impact Radius,278-804-3504,USD,150.50,27,"3,317"
2012-08-08,2012-08-06,Impact Radius,278-804-3504,USD,192.97,36,"3,474"
2012-08-09,2012-08-06,Impact Radius,278-804-3504,USD,123.99,24,"3,585"
2012-08-10,2012-08-06,Impact Radius,278-804-3504,USD,128.49,27,"2,513"
2012-08-11,2012-08-06,Impact Radius,278-804-3504,USD,0.00,0,4
2012-08-12,2012-08-06,Impact Radius,278-804-3504,USD,0.00,0,5
2012-08-13,2012-08-13,Impact Radius,278-804-3504,USD,118.56,25,"3,181"
2012-08-14,2012-08-13,Impact Radius,278-804-3504,USD,124.11,22,"3,399"
2012-08-15,2012-08-13,Impact Radius,278-804-3504,USD,155.98,30,"3,100"
2012-08-16,2012-08-13,Impact Radius,278-804-3504,USD,126.69,22,"3,159"
2012-08-17,2012-08-13,Impact Radius,278-804-3504,USD,98.00,19,"2,764"
2012-08-18,2012-08-13,Impact Radius,278-804-3504,USD,6.18,2,1
2012-08-19,2012-08-13,Impact Radius,278-804-3504,USD,0.00,0,1
2012-08-20,2012-08-20,Impact Radius,278-804-3504,USD,207.12,36,"3,111"
2012-08-21,2012-08-20,Impact Radius,278-804-3504,USD,135.69,23,"2,600"
2012-08-22,2012-08-20,Impact Radius,278-804-3504,USD,136.86,27,"3,186"
2012-08-23,2012-08-20,Impact Radius,278-804-3504,USD,220.11,37,"3,567"
2012-08-24,2012-08-20,Impact Radius,278-804-3504,USD,88.45,19,"3,430"
2012-08-25,2012-08-20,Impact Radius,278-804-3504,USD,0,0,0
2012-08-26,2012-08-20,Impact Radius,278-804-3504,USD,0,0,0
2012-08-27,2012-08-27,Impact Radius,278-804-3504,USD,171.27,30,"3,365"
2012-08-28,2012-08-27,Impact Radius,278-804-3504,USD,166.27,35,"3,170"
2012-08-29,2012-08-27,Impact Radius,278-804-3504,USD,107.57,22,"3,048"
2012-08-30,2012-08-27,Impact Radius,278-804-3504,USD,94.17,16,"2,796"
2012-08-31,2012-08-27,Impact Radius,278-804-3504,USD,104.02,23,"2,331"
2012-09-01,2012-08-27,Impact Radius,278-804-3504,USD,0,0,0
2012-09-02,2012-08-27,Impact Radius,278-804-3504,USD,0,0,0
2012-09-03,2012-09-03,Impact Radius,278-804-3504,USD,44.98,12,"1,511"
2012-09-04,2012-09-03,Impact Radius,278-804-3504,USD,226.06,40,"2,348"
2012-09-05,2012-09-03,Impact Radius,278-804-3504,USD,150.65,28,"1,784"
2012-09-06,2012-09-03,Impact Radius,278-804-3504,USD,147.17,28,"1,905"
2012-09-07,2012-09-03,Impact Radius,278-804-3504,USD,82.75,16,"1,359"
2012-09-08,2012-09-03,Impact Radius,278-804-3504,USD,0.00,0,4
2012-09-09,2012-09-03,Impact Radius,278-804-3504,USD,0.00,0,3
2012-09-10,2012-09-10,Impact Radius,278-804-3504,USD,108.34,20,"1,727"
2012-09-11,2012-09-10,Impact Radius,278-804-3504,USD,102.41,24,"1,832"
2012-09-12,2012-09-10,Impact Radius,278-804-3504,USD,100.64,18,"1,852"
2012-09-13,2012-09-10,Impact Radius,278-804-3504,USD,154.18,25,"1,988"
2012-09-14,2012-09-10,Impact Radius,278-804-3504,USD,67.01,15,"1,823"
2012-09-15,2012-09-10,Impact Radius,278-804-3504,USD,0.00,0,1
2012-09-16,2012-09-10,Impact Radius,278-804-3504,USD,0.00,0,3
2012-09-17,2012-09-17,Impact Radius,278-804-3504,USD,149.08,25,"2,249"
2012-09-18,2012-09-17,Impact Radius,278-804-3504,USD,118.20,22,"2,201"
2012-09-19,2012-09-17,Impact Radius,278-804-3504,USD,165.13,34,"2,232"
2012-09-20,2012-09-17,Impact Radius,278-804-3504,USD,177.13,38,"2,649"
2012-09-21,2012-09-17,Impact Radius,278-804-3504,USD,95.98,20,"1,952"
2012-09-22,2012-09-17,Impact Radius,278-804-3504,USD,0,0,0
2012-09-23,2012-09-17,Impact Radius,278-804-3504,USD,0.00,0,3
2012-09-24,2012-09-24,Impact Radius,278-804-3504,USD,121.22,27,"2,978"
2012-09-25,2012-09-24,Impact Radius,278-804-3504,USD,160.06,34,"2,457"
2012-09-26,2012-09-24,Impact Radius,278-804-3504,USD,103.02,23,"2,330"
2012-09-27,2012-09-24,Impact Radius,278-804-3504,USD,118.50,24,"2,313"
2012-09-28,2012-09-24,Impact Radius,278-804-3504,USD,71.08,18,"1,979"
2012-09-29,2012-09-24,Impact Radius,278-804-3504,USD,0,0,0
2012-09-30,2012-09-24,Impact Radius,278-804-3504,USD,0,0,0
2012-10-01,2012-10-01,Impact Radius,278-804-3504,USD,151.44,29,"4,098"
