Date (ISO Year Week),Country/Territory,Cost
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Italy,410.85
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Vietnam,9.96
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",France,327.98
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Japan,11.13
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Canada,1364.46
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Poland,115.77
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Türkiye,292.36
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Australia,73.69
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",New Zealand,22.68
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Germany,635.38
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Singapore,22.87
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",United States,13581.39345
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Spain,602.71
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Norway,63.61
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Philippines,59.57
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Indonesia,29
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Finland,41.59
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",United Kingdom,3154.69
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Austria,31.56
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Andorra,0.05
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Portugal,34.42
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Denmark,42.06
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Italy,232.84182
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Finland,2.44
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Netherlands,55.62
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Belgium,37.83
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Israel,52.69
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",France,156.93
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",United States,41504.24665
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Canada,5891.278728
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Spain,114.09
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Ireland,7.35
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Norway,2.04
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Germany,293.192949
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",United Kingdom,7556.719669
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Switzerland,13.515393
"Sep 30, 2024 to Oct 6, 2024 (Week 40)",Sweden,53.6
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Germany,337.12
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Australia,232.89
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Malaysia,198.92
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Poland,63.11
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Philippines,426.28
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Ireland,87.79
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Vietnam,167.4
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Indonesia,704.4
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",United States,5974.5
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",United Kingdom,1295.4
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Italy,286.36
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Switzerland,78.83
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Norway,35.42
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",South Africa,873.29
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Japan,32.46
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Singapore,101.24
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Sweden,109.15
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Türkiye,144.12
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",New Zealand,62.23
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Spain,204.72
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Thailand,56.83
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Finland,51.93
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",France,176.71
"Sep 27, 2021 to Oct 3, 2021 (Week 39)",Canada,688
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",United Kingdom,3762.84
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Türkiye,342.85
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Poland,226.5
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Germany,919.395791
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Ireland,254.91
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Canada,2670.042716
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Italy,535.49
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Switzerland,205.9
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Sweden,348.74
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Finland,136.33
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Spain,620.67
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",Norway,230.59
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",France,593.63
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",South Africa,1152.12
"Sep 26, 2022 to Oct 2, 2022 (Week 39)",United States,22726.44158
"Sep 25, 2023 to Oct 1, 2023 (Week 39)",United Kingdom,4825.03627
"Sep 25, 2023 to Oct 1, 2023 (Week 39)",United States,37681.3968
"Sep 25, 2023 to Oct 1, 2023 (Week 39)",Germany,1162.706674
"Sep 25, 2023 to Oct 1, 2023 (Week 39)",Canada,3641.514891
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Ireland,17.5
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",France,254.833787
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",United Kingdom,11659.21726
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Norway,10.37
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Italy,257.07
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Israel,170.3
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Belgium,8.37
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Netherlands,151.09
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Portugal,18.32
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",United States,52471.20745
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Denmark,2.87
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Austria,18.94
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Switzerland,11.1
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Germany,541.960274
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Spain,80.78
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Sweden,98.14
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Canada,6753.977819
"Sep 23, 2024 to Sep 29, 2024 (Week 39)",Finland,29.77
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",South Africa,1289.37
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Türkiye,148.36
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Sweden,227.01
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Japan,24.65
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Philippines,559.5
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Australia,313.9
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Poland,151.99
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",France,275.69
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Germany,340.57
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Finland,38.08
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Switzerland,71.17
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Thailand,39.04
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",United Kingdom,1543.27
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",United States,8243.03
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Norway,76.24
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Canada,999.58
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Malaysia,215.41
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Indonesia,749.33
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Singapore,130.35
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Italy,220.87
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Ireland,99.76
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Vietnam,218.21
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",New Zealand,71.61
"Sep 20, 2021 to Sep 26, 2021 (Week 38)",Spain,252.78
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",United States,35232.65959
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",United Kingdom,3140.268308
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Ireland,0.22
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Italy,289.36
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Sweden,44.07
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Israel,92.17
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",France,246.97
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Norway,8.16
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Austria,0.9
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Denmark,2.62
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Portugal,204.38
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Belgium,27.89
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Switzerland,7.08
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Andorra,3.31
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Spain,68.75
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Canada,5140.27768
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Finland,17.18
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Germany,681.63753
"Sep 2, 2024 to Sep 8, 2024 (Week 36)",Netherlands,126.64
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",United Kingdom,3380.98
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",France,541.23
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Spain,807.84
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",South Africa,1335.07
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Finland,81.43
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Switzerland,166.34
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Ireland,186.93
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Norway,146.12
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Sweden,328.58
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Canada,2198.002316
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Italy,567.19
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Germany,832.12
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Poland,202.29
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",Türkiye,352.47
"Sep 19, 2022 to Sep 25, 2022 (Week 38)",United States,20329.53717
"Sep 18, 2023 to Sep 24, 2023 (Week 38)",United States,40334.87209
"Sep 18, 2023 to Sep 24, 2023 (Week 38)",Canada,4297.053685
"Sep 18, 2023 to Sep 24, 2023 (Week 38)",Germany,1424.257225
"Sep 18, 2023 to Sep 24, 2023 (Week 38)",United Kingdom,7019.529076
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Ireland,40.51
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Belgium,69.73
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Spain,69.17
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Finland,3.23
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Canada,6632.666145
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",United Kingdom,4817.522825
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Norway,26.61
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Italy,257.669307
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Austria,1.97
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Netherlands,135.46
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",France,312.300431
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Germany,780.72857
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",United States,48791.2804
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Sweden,41.47
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Israel,85.19
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Portugal,29
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Switzerland,44.461714
"Sep 16, 2024 to Sep 22, 2024 (Week 38)",Denmark,21.67
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",United Kingdom,2040.3
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Türkiye,243.53
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",France,400.29
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Malaysia,322.53
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Thailand,93.31
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Sweden,273.32
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Indonesia,967.64
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Finland,67.06
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Norway,128.31
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Japan,19.81
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Germany,603.48
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Singapore,130.23
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Italy,419.12
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Ireland,176.62
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",United States,12944.51
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Vietnam,226.68
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Canada,1389.59
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Switzerland,148.21
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Poland,125.69
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Australia,481.04
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",New Zealand,93.69
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",South Africa,1821.21
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Spain,409.17
"Sep 13, 2021 to Sep 19, 2021 (Week 37)",Philippines,748.6
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",France,521.1
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Germany,627.73
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Türkiye,261.99
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Italy,571.93
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Sweden,254.64
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Isle of Man,3.29
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Canada,2016.129973
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Poland,190.58
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Norway,107.67
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Switzerland,209.7
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",South Africa,1089.97
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Finland,51.49
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Ireland,157.51
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",Spain,605.5
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",United Kingdom,3162.182916
"Sep 12, 2022 to Sep 18, 2022 (Week 37)",United States,16229.45771
"Sep 11, 2023 to Sep 17, 2023 (Week 37)",Canada,4517.429798
"Sep 11, 2023 to Sep 17, 2023 (Week 37)",United States,37872.25849
"Sep 11, 2023 to Sep 17, 2023 (Week 37)",United Kingdom,4864.173629
"Sep 11, 2023 to Sep 17, 2023 (Week 37)",Germany,1263.018306
"Oct 9, 2023 to Oct 15, 2023 (Week 41)",United States,39496.79839
"Oct 9, 2023 to Oct 15, 2023 (Week 41)",Germany,588.339565
"Oct 9, 2023 to Oct 15, 2023 (Week 41)",United Kingdom,2643.478493
"Oct 9, 2023 to Oct 15, 2023 (Week 41)",Canada,4134.896796
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Switzerland,14.53
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Austria,39.18
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",United Kingdom,5747.287423
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Ireland,1.53
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Germany,390.640312
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Norway,11
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Israel,61.16
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",France,269.362571
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",United States,37840.98204
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Belgium,14.68
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Sweden,79.44
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Netherlands,87.91
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Spain,100.57
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Finland,6.63
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Italy,278.047302
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Denmark,16.02
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Portugal,15.87
"Oct 7, 2024 to Oct 13, 2024 (Week 41)",Canada,6087.329004
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Germany,214.95
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Canada,839.96
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Spain,181.82
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",France,95.18
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Thailand,59.58
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Finland,48.4
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Malaysia,203.96
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",New Zealand,45.44
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Singapore,107.03
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Türkiye,105.51
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Sweden,78.22
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Japan,43.52
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",South Africa,529.66
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Norway,19.91
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Switzerland,61.61
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",United Kingdom,631.06
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Italy,191.54
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Indonesia,1226.02
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",United States,6852.69
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Vietnam,149.48
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Ireland,43.02
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Australia,242.18
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Poland,83.12
"Oct 4, 2021 to Oct 10, 2021 (Week 40)",Philippines,534.53
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Canada,1532.62
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",United Kingdom,516.17
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Sweden,35.64
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Germany,92.64
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",United States,12937.33
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Italy,12.57
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",South Africa,52.58
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Finland,1.34
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Poland,24.67
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",France,68.14
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Switzerland,22.59
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Spain,48.21
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Türkiye,8.61
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Norway,7.91
"Oct 31, 2022 to Nov 6, 2022 (Week 44)",Ireland,24.07
"Oct 30, 2023 to Nov 5, 2023 (Week 44)",Canada,3277.334698
"Oct 30, 2023 to Nov 5, 2023 (Week 44)",United States,26830.39518
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Türkiye,288.24
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Canada,3017.371584
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",United Kingdom,4432.1
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",United States,21858.70295
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",France,668.13
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Switzerland,220.91
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Spain,824.72
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Norway,113.05
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Sweden,438.56
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Finland,102.49
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Italy,640.07
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Ireland,228.15
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Germany,816.18
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",Poland,196.58
"Oct 3, 2022 to Oct 9, 2022 (Week 40)",South Africa,841.09
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Ireland,25.49
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Norway,20.18
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Canada,2859.469914
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Sweden,58.03
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Belgium,29.69
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",United States,18627.99804
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Finland,15.75
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Portugal,6.92
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Spain,57.84
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",France,175.76
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Denmark,23.22
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Germany,341.578581
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Switzerland,19.11
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Italy,153.33
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Israel,99.35
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Iceland,2.03
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",United Kingdom,2930.075984
"Oct 28, 2024 to Nov 3, 2024 (Week 44)",Netherlands,88.42
