,domainsub1,ga4_sessions,Include
92,?utm_content=body-above_cta-text_impact_home&utm_medium=email&utm_source=transactional&utm_term=sgp_publishers_transactional_accountnotice_reseller&utm_campaign=30-05-25_sgp_publishers_transactional_account-notice_reseller,111,No
93,?utm_source=signaturesatori&utm_medium=email_signature&utm_campaign=on-demand-webinar-emarketer-campaign,111,No
94,?mutiny=false,111,No
95,?utm_content=header_logo_impact_home&utm_medium=email&utm_source=transactional&utm_term=emea_publishers_transactional_accountnotice_resellerincfrde&utm_campaign=30-05-25_emea_publishers_transactional_account-notice_reseller-inc-fr-de,111,No
96,?subject=hafhcfdevcf,111,No
97,?noTrack=true,80,No
98,?_gl=xxxxxxxxxxxxxxxxxx&gclid=CjwKCAjw5v2wBhBrEiwAXDDoJa-97wBPdymOgUkQgqMdFV6WqbvGUAc9ZndkjXKJGv3wwb0as7TR6RoCKTIQAvD_BwE,80,No
99,?utm_source=signaturesatori&utm_medium=email_signature&utm_campaign=iPX24%20agenda%20is%20live%20,80,No
100,?irclickid=1uHXPy0AyxyKUm0UFpxj9xLfUkHXCDQMCzlRVk0&irgwc=1&mpid=3476091,80,No
101,qualified-test,80,No
102,?mutiny_preview=eyJhbGciOiJIUzI1NiJ9.eyJrZXkiOiI2NDAzZWJlMC1lMGIwLTRmYTUtYWViOS1mNzYwODM0ZTkyZWIiLCJpc3MiOiJmZDBmNTM1NjIwNmRlYjAxIiwiY29tcGFueV9pZCI6ImZkMGY1MzU2MjA2ZGViMDEiLCJleHBlcmllbmNlX2lkIjoiNDFiY2VkZGItOTc1MC00YjJlLWI1YzYtODNiYWFjMmNlNTI0IiwidmFyaWF0aW9uX2lkIjoiNmI5YjMxNGMtZTYzZC00MTczLTkyNjItNDlmNjNmYTBiYzg4IiwiZXhwIjoxNzIwMjc4NTEwLCJ2YXJpYWJsZV9vdmVycmlkZXMiOnsiY29tcGFueSI6eyJzaXhfc2Vuc2UiOnsibmFtZSI6IjZzZW5zZSJ9fX19.eVVfl8V0uKQeEzz4Dm6a0Ib9rHsLGlwS7UbPAl3fM9I,80,No
103,amplify,80,No
104,?irclickid=UThQsqTqcxyPT3AQPU2%3A0SfvUkHTcT014Rb1Us0&irgwc=1&mpid=2491208,80,No
105,ad-networks-ssps,80,No
106,?utm_campaign=The%20PR%20Net%20Newsletter&utm_medium=email&_hsenc=p2ANqtz-_v6gmAHpplBjfmdnZihNk3gRQ-U4_hfVNMUiGKBaT3NcoznArAD1NSeHETVodkg3yHvbUGuB-kz71FuAu2lA8LZ1Cszg&_hsmi=306404334&utm_content=306404334&utm_source=hs_email,80,No
107,?utm_source=retention&utm_campaign=thu_global_pubs_independenceday_seasonal_16052024&utm_medium=email&utm_content=cta-logo&utm_term=master_engaged_120days_table&utm_id=368495,80,No
108,?_gl=xxxxxxxxxxxxxxxxxx&gclid=CjwKCAjw57exBhAsEiwAaIxaZtm8fO8dyaDgALJ6mQeU9wvOC9vnsYsO_Pt6IJ2tU8LtaiXetmQHERoCYI8QAvD_BwE,80,No
109,?_gl=xxxxxxxxxxxxxxxxx&gclid=CjwKCAjwrIixBhBbEiwACEqDJV-1jULFQFCxWK4U0jQqQAXjoY63fcXOcHImrjSLgjaG9sMFa34MPRoCo-wQAvD_BwE,80,No
110,accessibility-policy,80,No
111,?utm_source=transactional&utm_campaign=mon_global_publisher_phishing_communication_22042024&utm_medium=email&utm_content=cta-logo&utm_term=master_brands_list&utm_id=365551,80,No
112,?_gl=xxxxxxxxxxxxxxxxxx&gclid=Cj0KCQjw0MexBhD3ARIsAEI3WHKn-Ac11kgaZzXR0yNSeHJricf54sF4Xh78TbVjm3wB7f4RjbQOsCgaAug2EALw_wcB,80,No
113,?utm_source=educational&utm_campaign=wed_global_brands_nylas-beta_15052024&utm_medium=email&utm_content=cta-logo&utm_term=nylas_beta_1000_list&utm_id=368569,80,No
114,houston,80,No
115,?utm_source=mkto&utm_medium=owned-email-nurture&utm_campaign=nurture-6sense&utm_content=6sense-nurture&mkt_tok=MjgwLVhRUC05OTQAAAGTRPCdhzu1nO-GnfDniTOOJ9FHwWPHmgqvEihfnhDEbW4vlOgux9eMqFykHDIoHua3a4GljTP1lTiB-bDYYn60v1Ax1KwXj6dFA6Oz0o4Jv_Jd,80,No
116,?utm_source=educational&utm_campaign=thu_global_brands_pxa-newsletter_16052024&utm_medium=email&utm_content=footer_text_legal-policy&utm_term=master_advertiser_list&utm_id=368660,80,No
117,?fbclid=IwY2xjawJGhs9leHRuA2FlbQIxMAABHZc1bx1KZ7DFBheW3Xw39gA9nM4Iwq8oETPMhc_RyE5qqvYgqwQoCEt59A_aem_VXyTeNWI8FRQ8EU-mzwKfA,74,No
118,?fbclid=IwZXh0bgNhZW0CMTEAAR2MSlMhGOpJiNDgUfXfWtdBv82TyIycjztLWWHumKq9P5UYI0pMtKjmjF4_aem_vmAOG-eG2LRLAy-4BcJzZA,74,No
119,secure,74,No
120,?fbclid=IwY2xjawGVrTZleHRuA2FlbQIxMAABHfH5UUeMmmYfBjuBOLTSPSFRNfQ0HFfNf1kbDE72U7AOJjZ8gYfqW55Xhw_aem_O7zS72ButNCAL7nZUAp1XA,74,No
121,?cppv=3&cpp=8h841b1tVb&utm_source=pop&utm_campaign=criteoretartgeting&cid=16226a3161bde4d3,74,No
122,?_bt=484926750381&_bk=radius%20by%20impact&_bm=p&_bn=g&utm_source=google&utm_medium=cpc&utm_campaign=1658251646-99602214939&utm_content=484926750381&utm_term=radius%20by%20impact-p&_bk=radius%20by%20impact&_bm=p&_bn=g&gad_source=1&gclid=CjwKCAiAw5W-BhAhEiwApv4goNYKm3o-XBnhTXYmjRB_mW_477Cu2K-O-AA4eqrqzJwHYQDC4bi5bxoCu_AQAvD_BwE,74,No
123,?_gl=xxxxxxxxxxxxxxxxx&gclid=Cj0KCQjwlMfABhCWARIsADGXdy_5enKtBsVwFbJWzhuz5o4qwfPc-pXkL3rUyUqZdVvq4Mktf7tRjBoaAooGEALw_wcB,74,No
124,?mutiny_preview=eyJhbGciOiJIUzI1NiJ9.eyJrZXkiOiI2NDAzZWJlMC1lMGIwLTRmYTUtYWViOS1mNzYwODM0ZTkyZWIiLCJpc3MiOiJmZDBmNTM1NjIwNmRlYjAxIiwiY29tcGFueV9pZCI6ImZkMGY1MzU2MjA2ZGViMDEiLCJleHBlcmllbmNlX2lkIjoiOGY4ZGYwMmQtM2RhYi00Yzk1LTk1NTItYzllM2UwNjk5ZDhiIiwidmFyaWF0aW9uX2lkIjoiMjJhYzdjODgtN2UxZC00YTdlLTg3NGYtZjFiNmY5NGU3YzgzIiwiZXhwIjoxNzUwMjczMzYyLCJ2YXJpYWJsZV9vdmVycmlkZXMiOnt9fQ.VE12q7N0QfmDaIZDhqVpSO32UR5T2lxm6e4Vqt0ShdQ,74,No
125,?mutiny_preview=eyJhbGciOiJIUzI1NiJ9.eyJrZXkiOiI2NDAzZWJlMC1lMGIwLTRmYTUtYWViOS1mNzYwODM0ZTkyZWIiLCJpc3MiOiJmZDBmNTM1NjIwNmRlYjAxIiwiY29tcGFueV9pZCI6ImZkMGY1MzU2MjA2ZGViMDEiLCJleHBlcmllbmNlX2lkIjoiOGY4ZGYwMmQtM2RhYi00Yzk1LTk1NTItYzllM2UwNjk5ZDhiIiwidmFyaWF0aW9uX2lkIjoiMjJhYzdjODgtN2UxZC00YTdlLTg3NGYtZjFiNmY5NGU3YzgzIiwiZXhwIjoxNzUwMjczNDI0LCJ2YXJpYWJsZV9vdmVycmlkZXMiOnt9fQ.wFCJQG2g5J1fbGz5A7exZwpCXIkfYWnx02yCkfRFwKc,74,No
126,?p=129156&preview=true,74,No
127,?q_mailing_7U7YeKP2qiLvjYf7MiEr8tBuK3CH9uwtwXttW=Rp35P3TEc9uEJE65c8gBK64KfvwwE5AhoZHJtnRS6M5HQ69toy98jXzwL&utm_campaign=general_signature&utm_medium=email_signature&utm_source=signaturesatori,74,No
128,?q_mailing_7U7YeKP2qiLvjYf7MiEr8tBuK3CH9uwtwXttW=Rp38JQLAUZntDX3EUNk3uYhoHXffhrFy9Du7YFxXz7GcyBa9HSZb9n28P&utm_campaign=general_signature&utm_medium=email_signature&utm_source=signaturesatori,74,No
129,?q_mailing_7U7YeKP2qiLvjYf7MiEr8tBuK3CH9uwtwXttW=Rp3hmZ3EJYbNQv69uAZwAKq1gMTk75VesQzYhuvWUHRDFssFAnA7JR6mm,74,No
130,?utm_source=linkedin&utm_medium=brand-organic-social&utm_campaign=ppl-culture,74,No
131,?_gl=xxxxxxxxxxxxxxxxxx&gclid=Cj0KCQiA-5a9BhCBARIsACwMkJ5RWUdmbKzGq1E04G37bVnm1kOTHA0a_RGRdikKxWfFdq_cui9OnB0aApbqEALw_wcB,74,No
132,impact-com-creator-influencer-marketing-platform-training-course,74,No
133,?utm_source=stripe.com&utm_medium=referral&utm_content=impact-website&utm_campaign=stripe-marketplace-listing,74,No
134,?utm_content=header_logo_impact_home&utm_medium=email&utm_term=global_creators_retention_creator_match_join_campaign&utm_source=retention&utm_id=1394728&utm_campaign=30-01-25_global_creators_retention_creator-match-join-campaign_health-and-empowerment,74,No
