Week,Account name,Customer ID,Currency code,Cost,Clicks,Impr.
2020-06-15,SaaSquatch,440-735-6734,CAD,1729.17,241,"4,045"
2020-06-22,Impact Radius,278-804-3504,USD,5977.68,"1,034","17,264"
2020-06-22,SaaSquatch,440-735-6734,CAD,2629.81,395,"7,338"
2020-06-29,Impact Radius,278-804-3504,USD,4613.54,727,"11,646"
2020-06-29,SaaSquatch,440-735-6734,CAD,2148.68,359,"7,009"
2020-07-06,Impact Radius,278-804-3504,USD,6872.93,"1,017","18,320"
2020-07-06,SaaSquatch,440-735-6734,CAD,788.07,111,"2,701"
2020-07-13,Impact Radius,278-804-3504,USD,5736.38,908,"13,912"
2020-07-13,SaaSquatch,440-735-6734,CAD,239.43,37,996
2020-07-20,Impact Radius,278-804-3504,USD,3950.74,829,"12,644"
2020-07-20,SaaSquatch,440-735-6734,CAD,3970.08,587,"12,381"
2020-07-27,Impact Radius,278-804-3504,USD,1351.77,263,"3,498"
2020-07-27,SaaSquatch,440-735-6734,CAD,1099.65,165,"3,658"
2020-08-03,Impact Radius,278-804-3504,USD,3105.87,666,"11,724"
2020-08-03,SaaSquatch,440-735-6734,CAD,2926.09,430,"9,708"
2020-08-10,Impact Radius,278-804-3504,USD,2769.15,572,"9,688"
2020-08-10,SaaSquatch,440-735-6734,CAD,4169.90,629,"13,748"
2020-08-17,Impact Radius,278-804-3504,USD,3141.80,518,"8,115"
2020-08-17,SaaSquatch,440-735-6734,CAD,4056.36,574,"12,934"
2020-08-24,Impact Radius,278-804-3504,USD,2214.41,413,"3,815"
2020-08-24,SaaSquatch,440-735-6734,CAD,2670.71,364,"6,453"
2020-08-31,Impact Radius,278-804-3504,USD,508.31,236,"1,388"
2020-08-31,SaaSquatch,440-735-6734,CAD,2034.97,287,"4,910"
2020-09-07,Impact Radius,278-804-3504,USD,177.60,235,"1,260"
2020-09-07,SaaSquatch,440-735-6734,CAD,1465.89,210,"3,375"
2020-09-14,Impact Radius,278-804-3504,USD,162.10,250,"1,332"
2020-09-14,SaaSquatch,440-735-6734,CAD,1405.83,202,"3,154"
2020-09-21,Impact Radius,278-804-3504,USD,154.47,240,"1,326"
2020-09-21,SaaSquatch,440-735-6734,CAD,3622.87,457,"8,102"
2020-09-28,Impact Radius,278-804-3504,USD,167.96,247,"1,330"
2020-09-28,SaaSquatch,440-735-6734,CAD,4138.45,500,"8,614"
2020-10-05,Impact Radius,278-804-3504,USD,172.25,256,"1,324"
2020-10-05,SaaSquatch,440-735-6734,CAD,2669.47,320,"4,976"
2020-10-12,Impact Radius,278-804-3504,USD,190.48,248,"1,359"
2020-10-12,SaaSquatch,440-735-6734,CAD,2520.38,307,"5,487"
2020-10-19,Impact Radius,278-804-3504,USD,224.60,260,"1,390"
2020-10-19,SaaSquatch,440-735-6734,CAD,3277.45,390,"7,189"
2020-10-26,Impact Radius,278-804-3504,USD,232.86,323,"1,420"
2020-10-26,SaaSquatch,440-735-6734,CAD,2676.22,290,"5,038"
2020-11-02,Impact Radius,278-804-3504,USD,186.08,245,"1,370"
2020-11-02,SaaSquatch,440-735-6734,CAD,3069.47,351,"6,352"
2020-11-09,Impact Radius,278-804-3504,USD,174.62,287,"1,415"
2020-11-09,SaaSquatch,440-735-6734,CAD,2447.36,271,"4,850"
2020-11-16,Impact Radius,278-804-3504,USD,202.87,263,"1,630"
2020-11-16,SaaSquatch,440-735-6734,CAD,1101.90,135,"1,966"
2020-11-23,Impact Radius,278-804-3504,USD,5709.49,"1,561","77,169"
2020-11-23,SaaSquatch,440-735-6734,CAD,1494.01,177,"2,881"
2020-11-30,Impact Radius,278-804-3504,USD,11081.57,"3,241","143,182"
2020-11-30,SaaSquatch,440-735-6734,CAD,1668.50,208,"3,664"
2020-12-07,Impact Radius,278-804-3504,USD,11881.45,"2,951","143,496"
2020-12-07,SaaSquatch,440-735-6734,CAD,1295.26,156,"2,827"
2020-12-14,Impact Radius,278-804-3504,USD,7417.85,"1,580","74,203"
2020-12-14,SaaSquatch,440-735-6734,CAD,1553.38,199,"3,481"
2020-12-21,Impact Radius,278-804-3504,USD,11792.98,"2,528","121,886"
2020-12-21,SaaSquatch,440-735-6734,CAD,239.11,29,927
2020-12-28,Impact Radius,278-804-3504,USD,315.44,263,"13,128"
2020-12-28,SaaSquatch,440-735-6734,CAD,311.92,52,"1,617"
2021-01-04,Impact Radius,278-804-3504,USD,4903.47,"1,461","48,973"
2021-01-04,SaaSquatch,440-735-6734,CAD,3215.39,397,"8,316"
2021-01-11,Impact Radius,278-804-3504,USD,7404.98,"1,554","57,837"
2021-01-11,SaaSquatch,440-735-6734,CAD,2026.16,276,"4,944"
2021-01-18,Impact Radius,278-804-3504,USD,18330.11,"3,712","143,077"
2021-01-18,SaaSquatch,440-735-6734,CAD,1035.74,147,"3,212"
2021-01-25,Impact Radius,278-804-3504,USD,14436.49,"2,007","87,200"
2021-01-25,SaaSquatch,440-735-6734,CAD,3130.00,235,"4,169"
2021-02-01,Impact Radius,278-804-3504,USD,12978.68,"2,844","102,335"
2021-02-01,SaaSquatch,440-735-6734,CAD,2583.21,130,"2,415"
2021-02-08,Impact Radius,278-804-3504,USD,13114.57,"3,227","111,352"
2021-02-08,SaaSquatch,440-735-6734,CAD,1799.91,245,"4,095"
2021-02-15,Impact Radius,278-804-3504,USD,6581.83,"2,220","84,580"
2021-02-15,SaaSquatch,440-735-6734,CAD,1870.75,253,"4,467"
2021-02-22,Impact Radius,278-804-3504,USD,3221.02,"1,267","54,739"
2021-02-22,SaaSquatch,440-735-6734,CAD,1945.71,251,"5,771"
2021-03-01,Impact Radius,278-804-3504,USD,6814.84,"2,093","70,008"
2021-03-01,SaaSquatch,440-735-6734,CAD,856.03,298,"18,938"
2021-03-08,Impact Radius,278-804-3504,USD,7846.25,"2,464","74,032"
2021-03-08,SaaSquatch,440-735-6734,CAD,2544.29,"1,292","63,401"
2021-03-15,Impact Radius,278-804-3504,USD,9895.63,"2,894","82,355"
2021-03-15,SaaSquatch,440-735-6734,CAD,2018.00,"1,656","115,231"
2021-03-22,Impact Radius,278-804-3504,USD,595.66,317,"8,848"
2021-03-22,SaaSquatch,440-735-6734,CAD,1606.08,714,"122,858"
2021-03-29,Impact Radius,278-804-3504,USD,5395.22,"1,288","33,916"
2021-03-29,SaaSquatch,440-735-6734,CAD,231.89,41,"3,355"
2021-04-05,Impact Radius,278-804-3504,USD,10330.90,"2,711","74,577"
2021-04-05,SaaSquatch,440-735-6734,CAD,1713.22,528,"48,436"
2021-04-12,Impact Radius,278-804-3504,USD,7479.70,"2,005","51,221"
2021-04-12,SaaSquatch,440-735-6734,CAD,2833.15,470,"28,839"
2021-04-19,Impact Radius,278-804-3504,USD,4754.46,"1,922","46,781"
2021-04-19,SaaSquatch,440-735-6734,CAD,2450.77,"1,027","62,197"
2021-04-26,Impact Radius,278-804-3504,USD,7478.93,"2,717","70,192"
2021-04-26,SaaSquatch,440-735-6734,CAD,3235.23,"1,044","43,298"
2021-05-03,Impact Radius,278-804-3504,USD,9443.83,"3,031","71,555"
2021-05-03,SaaSquatch,440-735-6734,CAD,3283.21,"1,069","52,259"
2021-05-10,Impact Radius,278-804-3504,USD,9199.80,"2,958","72,459"
2021-05-10,SaaSquatch,440-735-6734,CAD,2407.58,"1,010","65,928"
2021-05-17,Impact Radius,278-804-3504,USD,7486.89,"2,477","73,945"
2021-05-17,SaaSquatch,440-735-6734,CAD,3085.62,"1,123","67,908"
2021-05-24,Impact Radius,278-804-3504,USD,5936.30,"2,066","58,265"
2021-05-24,SaaSquatch,440-735-6734,CAD,2758.00,"1,498","88,189"
2021-05-31,Impact Radius,278-804-3504,USD,4479.45,"1,673","46,400"
2021-05-31,SaaSquatch,440-735-6734,CAD,1629.20,"1,147","57,682"
2021-06-07,Impact Radius,278-804-3504,USD,4090.98,"1,609","36,738"
2021-06-07,SaaSquatch,440-735-6734,CAD,2400.90,"1,422","119,895"
2021-06-14,Impact Radius,278-804-3504,USD,5651.74,"2,092","42,502"
2021-06-14,SaaSquatch,440-735-6734,CAD,1919.40,"1,686","109,517"
2021-06-21,Impact Radius,278-804-3504,USD,6213.59,"2,703","62,424"
2021-06-21,SaaSquatch,440-735-6734,CAD,2234.21,"1,641","48,485"
2021-06-28,Impact Radius,278-804-3504,USD,5698.32,"2,583","54,937"
2021-06-28,SaaSquatch,440-735-6734,CAD,1943.25,"2,142","36,259"
2021-07-05,Impact Radius,278-804-3504,USD,4158.50,"2,667","69,931"
2021-07-05,SaaSquatch,440-735-6734,CAD,1808.37,"2,233","29,094"
2021-07-12,Impact Radius,278-804-3504,USD,11701.19,"5,476","175,655"
2021-07-12,SaaSquatch,440-735-6734,CAD,2335.51,"1,503","67,451"
2021-07-19,Impact Radius,278-804-3504,USD,9809.53,"4,318","114,578"
2021-07-19,SaaSquatch,440-735-6734,CAD,1906.05,820,"46,638"
2021-07-26,Impact Radius,278-804-3504,USD,7843.35,"3,408","58,514"
2021-07-26,SaaSquatch,440-735-6734,CAD,1907.84,948,"59,255"
2021-08-02,Impact Radius,278-804-3504,USD,6217.73,"2,787","46,007"
2021-08-02,SaaSquatch,440-735-6734,CAD,2198.57,996,"54,332"
2021-08-09,Impact Radius,278-804-3504,USD,7208.87,"3,246","52,952"
2021-08-09,SaaSquatch,440-735-6734,CAD,1926.00,"1,178","62,593"
2021-08-16,Impact Radius,278-804-3504,USD,4157.24,"2,015","33,655"
2021-08-16,SaaSquatch,440-735-6734,CAD,1570.86,945,"89,380"
2021-08-23,Impact Radius,278-804-3504,USD,4974.36,"2,097","32,944"
2021-08-23,SaaSquatch,440-735-6734,CAD,3193.83,"1,318","192,832"
2021-08-30,Impact Radius,278-804-3504,USD,6405.81,"2,694","45,602"
2021-08-30,SaaSquatch,440-735-6734,CAD,2577.58,"1,624","237,481"
2021-09-06,Impact Radius,278-804-3504,USD,14328.74,"4,981","89,938"
2021-09-06,SaaSquatch,440-735-6734,CAD,3011.66,"2,313","395,087"
2021-09-13,Impact Radius,278-804-3504,USD,24273.94,"7,578","137,484"
2021-09-13,SaaSquatch,440-735-6734,CAD,1957.94,927,"81,605"
2021-09-20,Impact Radius,278-804-3504,USD,16299.77,"5,892","105,468"
2021-09-20,SaaSquatch,440-735-6734,CAD,3053.31,"1,040","54,459"
2021-09-27,Impact Radius,278-804-3504,USD,12389.10,"4,744","85,624"
2021-09-27,SaaSquatch,440-735-6734,CAD,2164.93,"1,975","417,077"
2021-10-04,Impact Radius,278-804-3504,USD,12588.39,"5,554","91,389"
2021-10-04,SaaSquatch,440-735-6734,CAD,2659.29,"2,486","560,790"
2021-10-11,Impact Radius,278-804-3504,USD,18496.92,"7,293","123,579"
2021-10-11,impact.com Publisher Marketing,294-506-6884,USD,504.55,313,"5,172"
2021-10-11,SaaSquatch,440-735-6734,CAD,3396.83,994,"96,081"
2021-10-18,Impact Radius,278-804-3504,USD,14277.68,"6,102","109,585"
2021-10-18,impact.com Publisher Marketing,294-506-6884,USD,1214.67,"1,935","27,609"
2021-10-18,SaaSquatch,440-735-6734,CAD,3525.64,791,"44,848"
2021-10-25,Impact Radius,278-804-3504,USD,8581.95,"4,257","68,390"
2021-10-25,impact.com Publisher Marketing,294-506-6884,USD,1920.10,"3,384","35,812"
2021-10-25,SaaSquatch,440-735-6734,CAD,3331.56,772,"40,125"
2021-11-01,Impact Radius,278-804-3504,USD,8980.02,"3,717","52,507"
2021-11-01,impact.com Publisher Marketing,294-506-6884,USD,1629.41,"2,288","21,678"
2021-11-01,SaaSquatch,440-735-6734,CAD,3204.07,711,"56,860"
2021-11-08,Impact Radius,278-804-3504,USD,15042.95,"4,921","82,304"
2021-11-08,impact.com Publisher Marketing,294-506-6884,USD,1645.30,"1,498","21,589"
2021-11-08,SaaSquatch,440-735-6734,CAD,3537.38,921,"42,597"
2021-11-15,Impact Radius,278-804-3504,USD,11925.18,"3,937","71,181"
2021-11-15,impact.com Publisher Marketing,294-506-6884,USD,1656.32,"1,474","31,559"
2021-11-15,SaaSquatch,440-735-6734,CAD,3735.59,761,"56,861"
2021-11-22,Impact Radius,278-804-3504,USD,11095.43,"3,901","67,880"
2021-11-22,impact.com Publisher Marketing,294-506-6884,USD,890.28,"1,247","31,801"
2021-11-22,SaaSquatch,440-735-6734,CAD,3001.92,586,"29,974"
2021-11-29,Impact Radius,278-804-3504,USD,11943.54,"3,853","78,777"
2021-11-29,impact.com Publisher Marketing,294-506-6884,USD,1100.09,"1,526","39,303"
2021-11-29,SaaSquatch,440-735-6734,CAD,3896.10,762,"31,607"
2021-12-06,Impact Radius,278-804-3504,USD,13704.25,"4,529","95,957"
2021-12-06,impact.com Publisher Marketing,294-506-6884,USD,1429.37,"1,367","84,626"
2021-12-06,SaaSquatch,440-735-6734,CAD,3267.81,737,"36,126"
2021-12-13,Impact Radius,278-804-3504,USD,17844.70,"5,644","116,995"
2021-12-13,impact.com Publisher Marketing,294-506-6884,USD,1251.92,570,"14,177"
2021-12-13,SaaSquatch,440-735-6734,CAD,3226.91,718,"30,909"
2021-12-20,Impact Radius,278-804-3504,USD,13635.96,"4,426","110,980"
2021-12-20,impact.com Publisher Marketing,294-506-6884,USD,799.36,613,"5,936"
2021-12-20,SaaSquatch,440-735-6734,CAD,2782.97,687,"42,853"
2021-12-27,Impact Radius,278-804-3504,USD,5114.46,"1,484","31,126"
2021-12-27,impact.com Publisher Marketing,294-506-6884,USD,801.02,724,"5,988"
2021-12-27,SaaSquatch,440-735-6734,CAD,2622.91,832,"42,694"
2022-01-03,Impact Radius,278-804-3504,USD,21913.48,"7,458","148,955"
2022-01-03,impact.com Publisher Marketing,294-506-6884,USD,1133.47,837,"7,958"
2022-01-03,SaaSquatch,440-735-6734,CAD,3793.78,"1,253","95,802"
2022-01-10,Impact Radius,278-804-3504,USD,28644.60,"7,889","157,587"
2022-01-10,impact.com Publisher Marketing,294-506-6884,USD,1433.71,"1,232","14,072"
2022-01-10,SaaSquatch,440-735-6734,CAD,2276.39,923,"45,075"
2022-01-17,Impact Radius,278-804-3504,USD,31147.16,"8,557","161,111"
2022-01-17,impact.com Publisher Marketing,294-506-6884,USD,1372.32,"1,541","16,472"
2022-01-17,SaaSquatch,440-735-6734,CAD,4056.88,"2,098","131,983"
2022-01-24,Impact Radius,278-804-3504,USD,33132.48,"9,523","179,740"
2022-01-24,impact.com Publisher Marketing,294-506-6884,USD,1667.92,"2,055","96,666"
2022-01-24,SaaSquatch,440-735-6734,CAD,5913.65,"4,936","237,002"
2022-01-31,Impact Radius,278-804-3504,USD,33438.12,"7,435","152,607"
2022-01-31,impact.com Publisher Marketing,294-506-6884,USD,1951.09,"5,154","240,762"
2022-01-31,SaaSquatch,440-735-6734,CAD,5633.03,"6,968","526,279"
2022-02-07,Impact Radius,278-804-3504,USD,26254.97,"6,884","139,097"
2022-02-07,impact.com Publisher Marketing,294-506-6884,USD,1987.53,"3,046","131,168"
2022-02-07,SaaSquatch,440-735-6734,CAD,4846.44,"8,166","820,873"
2022-02-14,Impact Radius,278-804-3504,USD,27545.21,"6,447","144,216"
2022-02-14,impact.com Publisher Marketing,294-506-6884,USD,2031.82,"2,944","151,001"
2022-02-14,SaaSquatch,440-735-6734,CAD,4926.64,"4,784","324,748"
2022-02-21,Impact Radius,278-804-3504,USD,27236.11,"6,166","158,269"
2022-02-21,impact.com Publisher Marketing,294-506-6884,USD,1936.87,"3,387","145,459"
2022-02-21,SaaSquatch,440-735-6734,CAD,4485.60,"1,773","101,745"
2022-02-28,Impact Radius,278-804-3504,USD,30142.57,"6,534","157,164"
2022-02-28,impact.com Publisher Marketing,294-506-6884,USD,1928.06,"2,898","108,693"
2022-02-28,SaaSquatch,440-735-6734,CAD,3687.20,"2,131","145,532"
2022-03-07,Impact Radius,278-804-3504,USD,24963.67,"5,593","134,797"
2022-03-07,impact.com Publisher Marketing,294-506-6884,USD,1986.03,"2,604","55,977"
2022-03-07,SaaSquatch,440-735-6734,CAD,4280.22,"3,096","251,512"
2022-03-14,Impact Radius,278-804-3504,USD,25607.20,"5,922","134,154"
2022-03-14,impact.com Publisher Marketing,294-506-6884,USD,2648.81,"3,744","134,657"
2022-03-14,SaaSquatch,440-735-6734,CAD,3212.96,"3,236","273,329"
2022-03-21,Impact Radius,278-804-3504,USD,28692.65,"6,178","141,945"
2022-03-21,impact.com Publisher Marketing,294-506-6884,USD,2210.24,"3,295","104,743"
2022-03-21,SaaSquatch,440-735-6734,CAD,4750.04,"3,032","203,098"
2022-03-28,Impact Radius,278-804-3504,USD,36888.29,"7,903","181,662"
2022-03-28,impact.com Publisher Marketing,294-506-6884,USD,1673.78,"2,094","64,797"
2022-03-28,SaaSquatch,440-735-6734,CAD,5425.94,"2,332","139,612"
2022-04-04,Impact Radius,278-804-3504,USD,38619.47,"7,909","185,491"
2022-04-04,impact.com Publisher Marketing,294-506-6884,USD,1442.74,"1,292","33,607"
2022-04-04,SaaSquatch,440-735-6734,CAD,4893.01,"2,959","193,696"
2022-04-11,Impact Radius,278-804-3504,USD,31503.76,"6,716","145,385"
2022-04-11,impact.com Publisher Marketing,294-506-6884,USD,1329.78,"1,288","33,389"
2022-04-11,SaaSquatch,440-735-6734,CAD,3625.20,"1,899","134,956"
2022-04-18,Impact Radius,278-804-3504,USD,28853.07,"6,617","139,718"
2022-04-18,impact.com Publisher Marketing,294-506-6884,USD,1286.63,"1,323","30,982"
2022-04-18,SaaSquatch,440-735-6734,CAD,5149.23,"3,371","689,077"
2022-04-25,Impact Radius,278-804-3504,USD,26599.01,"6,255","137,250"
2022-04-25,impact.com Publisher Marketing,294-506-6884,USD,1518.40,"1,850","62,593"
2022-04-25,SaaSquatch,440-735-6734,CAD,4094.49,"4,262","1,028,682"
2022-05-02,Impact Radius,278-804-3504,USD,22984.07,"5,821","134,838"
2022-05-02,impact.com Publisher Marketing,294-506-6884,USD,1568.91,"2,318","74,728"
2022-05-02,SaaSquatch,440-735-6734,CAD,5048.54,"3,990","884,896"
2022-05-09,Impact Radius,278-804-3504,USD,20063.44,"5,084","107,551"
2022-05-09,impact.com Publisher Marketing,294-506-6884,USD,2060.39,"2,768","174,435"
2022-05-09,SaaSquatch,440-735-6734,CAD,1766.68,749,"68,741"
2022-05-16,Impact Radius,278-804-3504,USD,22937.62,"5,316","137,064"
2022-05-16,impact.com Publisher Marketing,294-506-6884,USD,2106.93,"2,541","116,030"
2022-05-16,SaaSquatch,440-735-6734,CAD,3258.99,"1,345","117,215"
2022-05-23,Impact Radius,278-804-3504,USD,26055.39,"5,542","129,148"
2022-05-23,impact.com Publisher Marketing,294-506-6884,USD,1605.51,"2,773","97,029"
2022-05-23,SaaSquatch,440-735-6734,CAD,6187.05,"1,636","83,150"
2022-05-30,Impact Radius,278-804-3504,USD,13024.43,"2,431","81,958"
2022-05-30,impact.com Publisher Marketing,294-506-6884,USD,2461.19,"5,093","123,004"
2022-05-30,SaaSquatch,440-735-6734,CAD,5037.41,"1,318","95,360"
2022-06-06,Impact Radius,278-804-3504,USD,62136.65,"4,120","96,190"
2022-06-06,impact.com Publisher Marketing,294-506-6884,USD,3668.48,"6,411","155,529"
2022-06-06,SaaSquatch,440-735-6734,CAD,5344.80,"1,750","173,884"
2022-06-13,Impact Radius,278-804-3504,USD,12488.39,"1,305","29,591"
2022-06-13,impact.com Publisher Marketing,294-506-6884,USD,4199.92,"5,849","119,811"
2022-06-13,SaaSquatch,440-735-6734,CAD,4870.03,"1,851","186,027"
2022-06-20,Impact Radius,278-804-3504,USD,13702.55,"1,754","38,625"
2022-06-20,impact.com Publisher Marketing,294-506-6884,USD,3571.88,"5,984","125,810"
2022-06-20,SaaSquatch,440-735-6734,CAD,4662.38,"1,530","170,200"
2022-06-27,Impact Radius,278-804-3504,USD,21539.09,"3,481","85,972"
2022-06-27,impact.com Publisher Marketing,294-506-6884,USD,3155.86,"5,740","126,713"
2022-06-27,SaaSquatch,440-735-6734,CAD,4530.48,"1,160","137,621"
2022-06-27,Trackonomics,678-591-6897,USD,268.76,20,498
2022-07-04,Impact Radius,278-804-3504,USD,21320.72,"4,314","94,680"
2022-07-04,impact.com Publisher Marketing,294-506-6884,USD,927.18,"2,714","70,538"
2022-07-04,SaaSquatch,440-735-6734,CAD,4203.69,897,"94,405"
2022-07-04,Trackonomics,678-591-6897,USD,4828.57,637,"21,585"
2022-07-11,Impact Radius,278-804-3504,USD,38617.81,"8,281","189,137"
2022-07-11,impact.com Publisher Marketing,294-506-6884,USD,972.89,"2,936","71,924"
2022-07-11,SaaSquatch,440-735-6734,CAD,4384.75,846,"57,759"
2022-07-11,Trackonomics,678-591-6897,USD,153.24,21,656
2022-07-18,Impact Radius,278-804-3504,USD,42269.39,"8,933","207,644"
2022-07-18,impact.com Publisher Marketing,294-506-6884,USD,631.72,"1,838","38,473"
2022-07-18,SaaSquatch,440-735-6734,CAD,4707.51,943,"66,116"
2022-07-25,Impact Radius,278-804-3504,USD,34920.27,"7,178","178,873"
2022-07-25,SaaSquatch,440-735-6734,CAD,4305.12,787,"35,446"
2022-08-01,Impact Radius,278-804-3504,USD,35480.39,"6,925","170,737"
2022-08-01,SaaSquatch,440-735-6734,CAD,4081.71,816,"55,741"
2022-08-08,Impact Radius,278-804-3504,USD,35807.04,"6,062","151,211"
2022-08-08,SaaSquatch,440-735-6734,CAD,4721.40,719,"45,689"
2022-08-15,Impact Radius,278-804-3504,USD,20360.15,"3,598","77,141"
2022-08-15,SaaSquatch,440-735-6734,CAD,4816.52,846,"43,777"
2022-08-15,Trackonomics,678-591-6897,USD,25.11,9,158
2022-08-22,Impact Radius,278-804-3504,USD,18781.89,"3,538","66,589"
2022-08-22,SaaSquatch,440-735-6734,CAD,5528.40,807,"31,635"
2022-08-29,Impact Radius,278-804-3504,USD,19327.22,"3,826","63,639"
2022-08-29,SaaSquatch,440-735-6734,CAD,4563.55,697,"29,582"
2022-09-05,Impact Radius,278-804-3504,USD,21903.14,"4,248","79,501"
2022-09-05,SaaSquatch,440-735-6734,CAD,4855.27,762,"34,022"
2022-09-12,Impact Radius,278-804-3504,USD,26060.87,"5,364","108,017"
2022-09-12,impact.com APAC,247-083-5844,USD,0.00,0,13
2022-09-12,SaaSquatch,440-735-6734,CAD,4848.91,793,"29,310"
2022-09-19,Impact Radius,278-804-3504,USD,31456.13,"6,263","131,911"
2022-09-19,impact.com APAC,247-083-5844,USD,1028.82,360,"5,109"
2022-09-19,SaaSquatch,440-735-6734,CAD,5201.52,833,"29,396"
2022-09-26,Impact Radius,278-804-3504,USD,34726.45,"6,393","143,100"
2022-09-26,impact.com APAC,247-083-5844,USD,1345.54,460,"7,682"
2022-09-26,SaaSquatch,440-735-6734,CAD,5490.16,775,"25,426"
2022-10-03,Impact Radius,278-804-3504,USD,34686.34,"6,012","128,862"
2022-10-03,impact.com APAC,247-083-5844,USD,1349.62,442,"7,195"
2022-10-03,SaaSquatch,440-735-6734,CAD,5110.12,685,"28,618"
2022-10-10,Impact Radius,278-804-3504,USD,20118.17,"3,718","81,257"
2022-10-10,impact.com APAC,247-083-5844,USD,1417.42,479,"8,335"
2022-10-10,SaaSquatch,440-735-6734,CAD,3907.51,512,"21,882"
2022-10-17,Impact Radius,278-804-3504,USD,16093.67,"2,856","54,477"
2022-10-17,impact.com APAC,247-083-5844,USD,1441.07,450,"9,277"
2022-10-17,SaaSquatch,440-735-6734,CAD,3416.90,408,"18,168"
2022-10-24,Impact Radius,278-804-3504,USD,17332.36,"3,138","54,504"
2022-10-24,impact.com APAC,247-083-5844,USD,1228.03,401,"7,170"
2022-10-24,SaaSquatch,440-735-6734,CAD,1542.38,183,"5,606"
2022-10-31,Impact Radius,278-804-3504,USD,15385.09,"2,936","49,538"
2022-10-31,impact.com APAC,247-083-5844,USD,1377.13,475,"7,609"
2022-10-31,SaaSquatch,440-735-6734,CAD,1968.15,273,"6,857"
2022-11-07,Impact Radius,278-804-3504,USD,21696.43,"4,255","95,331"
2022-11-07,impact.com APAC,247-083-5844,USD,1481.13,474,"7,598"
2022-11-07,SaaSquatch,440-735-6734,CAD,3125.99,342,"8,857"
