Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Searches: Sep 2022,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
multi touch attribution model,USD,480,0%,23%,Low,25,9.00,23.04,,,,Y,,480,480,480,590,480,480,390,390,390,480,590,590,480,480,480,590,480,590,480,390,590,480,590,480,590,390,480,480,480,480,390,320,480,390,390,480,480,480,480,390,390,480,480,590,720,590,720,590
impact affiliate marketing,USD,480,0%,22%,Medium,53,4.29,37.60,100%,,,Y,,170,210,210,210,170,110,110,110,170,140,140,140,140,170,110,110,140,110,110,90,170,170,320,320,390,480,480,480,320,480,390,390,880,720,720,720,590,590,880,880,720,1000,1600,880,880,880,880,880
affiliate platform,USD,480,0%,-19%,Medium,52,7.21,29.97,58%,,,Y,,320,320,320,320,320,320,320,320,320,320,390,320,320,320,320,390,320,260,320,260,390,390,390,390,390,480,390,480,880,880,480,590,590,590,720,590,590,480,590,480,480,480,1300,720,720,480,480,480
make a pie chart,USD,2400,83%,22%,Low,2,0.79,2.35,,,,,,2400,1600,1600,1900,2400,2900,2900,2400,2400,2400,2900,2900,2400,1600,1600,1900,2400,2400,2900,2900,2400,2400,2900,3600,2900,1600,1600,1900,2400,2900,3600,2900,2900,2900,2900,3600,2400,1600,1600,1600,2400,2900,2900,2400,2900,2400,2900,4400
forrester tei,USD,210,-19%,0%,High,69,7.56,26.79,,,,,,210,260,170,170,210,210,170,170,260,260,260,260,260,210,210,210,210,260,210,210,210,170,260,260,210,170,170,170,170,170,170,140,260,210,320,170,170,170,210,210,170,210,170,110,140,210,170,170
referral programs,USD,5400,0%,0%,Medium,35,5.17,22.08,43%,,,Y,,4400,4400,4400,4400,4400,4400,4400,4400,5400,4400,5400,5400,5400,4400,4400,5400,4400,4400,4400,4400,5400,4400,5400,5400,4400,4400,4400,5400,6600,12100,8100,4400,6600,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,5400,6600,5400,5400,5400
referral marketing software,USD,590,39%,108%,Low,12,10.00,42.46,15%,,,Y,,480,480,390,480,390,390,320,390,480,390,480,590,480,390,390,590,390,480,390,390,390,390,480,480,590,390,390,2400,320,1300,480,390,590,590,590,480,480,480,480,590,590,590,2400,880,1600,720,880,1000
marketing attribution model,USD,880,48%,30%,Low,27,9.19,26.97,,,,Y,,880,720,720,720,590,720,720,720,720,880,880,880,880,880,720,1000,880,880,880,880,880,880,880,880,880,880,720,720,720,720,720,590,720,720,880,1000,880,720,720,590,720,880,880,720,1000,880,1000,1300
customer referral program,USD,480,22%,83%,Low,14,8.00,33.14,23%,,,Y,,390,390,390,390,390,390,390,390,480,390,480,390,390,390,390,390,320,390,390,390,480,480,480,480,590,390,320,480,390,390,390,390,480,480,480,480,480,390,390,480,390,480,480,880,1300,720,1000,880
referral platform,USD,210,24%,50%,Medium,35,8.83,32.02,36%,,,Y,,110,90,90,70,90,110,90,90,110,140,140,140,140,110,140,140,210,170,170,110,170,170,140,140,170,140,90,140,880,2900,90,140,140,170,140,140,140,170,110,140,110,140,140,140,210,170,170,210
forrester tei report,USD,210,23%,0%,Low,18,9.60,24.62,,,,,,70,90,110,110,170,140,90,70,110,90,110,70,110,110,140,170,110,140,170,140,140,140,170,170,210,90,110,110,90,90,90,90,110,390,320,480,480,260,170,210,260,260,260,320,390,390,390,480
multi touch attribution tools,USD,90,0%,-56%,Medium,37,20.00,65.16,,,,Y,,110,70,70,70,70,50,50,50,110,70,70,70,90,70,70,110,110,70,70,70,70,50,70,70,70,70,70,50,50,90,90,50,70,70,110,320,90,110,70,90,90,140,90,260,260,140,140,140
attribution model,USD,1600,46%,19%,Low,30,9.00,28.64,,,,Y,,1900,1600,1600,1900,1900,1900,1600,1300,1600,1900,1900,1900,1900,1600,1600,1600,1600,1900,1600,1600,1600,1600,1900,1900,1900,1600,1300,1300,1600,1900,1600,1300,1600,1600,1600,1600,1600,1000,1300,1300,1300,1600,1600,1300,1600,1300,1600,1900
walmart affiliate,USD,1900,60%,-56%,Low,21,0.86,1.02,,,,Y,,1900,2400,2400,2400,1900,2400,2900,2400,2900,2400,2400,2400,2400,2400,1900,1900,1300,1300,1900,1600,1600,1300,1600,1600,2900,6600,3600,2900,2400,1900,1900,1900,2400,1600,1600,3600,1600,1300,1600,1300,1300,1300,1600,1300,1300,1000,1300,1600
impact affiliate program,USD,140,52%,88%,Medium,35,3.89,24.99,84%,,,Y,,70,50,70,110,90,110,70,90,110,140,90,110,70,70,90,90,90,70,70,70,90,90,110,110,170,170,170,170,140,140,140,110,210,210,210,170,210,210,210,210,170,170,170,260,260,210,320,320
affiliate management,USD,1000,0%,0%,Low,5,7.39,24.72,5%,,,Y,,880,880,1000,1000,1300,1000,880,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,880,1000,1000,1000,880,880,880,880,1000,880,880,1000,880,1300,1300,1000,1000,1300,1000,1300,1300,1300,1300,1000,1000,1300,1000,1300,1000
forrester total economic impact,USD,140,56%,0%,Medium,52,7.74,23.25,,,,,,170,210,140,140,140,140,140,110,170,170,210,170,140,210,170,260,210,140,170,140,140,170,170,170,210,140,140,140,140,140,140,110,140,140,170,140,140,90,110,140,110,110,110,90,110,90,170,140
impactradius,USD,2900,0%,-17%,Low,22,9.94,29.03,100%,,,Y,,3600,4400,4400,4400,4400,4400,3600,3600,4400,3600,4400,3600,3600,3600,3600,3600,2900,3600,3600,2400,2900,3600,3600,2900,3600,3600,2900,2900,2900,2900,2900,2400,3600,2900,2400,2900,2400,2400,2400,2400,2400,2900,2400,2400,2900,2400,3600,2400
marketing affiliate program,USD,18100,50%,-18%,Low,25,1.22,7.77,4%,,,Y,,6600,6600,6600,6600,6600,6600,6600,6600,12100,9900,9900,9900,9900,14800,14800,18100,14800,14800,14800,18100,27100,18100,22200,33100,33100,40500,49500,40500,33100,33100,27100,27100,40500,27100,22200,22200,22200,22200,22200,18100,18100,18100,12100,14800,22200,12100,14800,18100
walmart affiliate marketing,USD,1900,60%,-56%,Low,21,0.86,1.02,,,,Y,,1900,2400,2400,2400,1900,2400,2900,2400,2900,2400,2400,2400,2400,2400,1900,1900,1300,1300,1900,1600,1600,1300,1600,1600,2900,6600,3600,2900,2400,1900,1900,1900,2400,1600,1600,3600,1600,1300,1600,1300,1300,1300,1600,1300,1300,1000,1300,1600
impact influencer marketing,USD,140,0%,0%,Medium,66,11.86,50.48,100%,,,Y,,110,90,90,110,110,90,70,90,110,90,140,140,140,170,170,140,140,170,140,90,170,170,140,170,170,140,140,140,140,140,110,90,140,110,140,140,110,170,140,140,140,110,170,110,90,140,110,140
best affiliate networks,USD,480,50%,85%,Low,16,5.28,26.17,18%,,,Y,,480,590,480,480,590,590,480,480,480,480,480,480,390,390,390,480,480,590,590,590,590,480,590,590,590,480,480,590,590,590,590,480,590,590,480,390,390,390,390,390,390,480,480,480,720,480,1000,720
impact affiliate network,USD,90,-36%,80%,Low,33,10.31,58.24,98%,,,Y,,70,40,40,40,40,30,50,40,50,50,50,40,70,70,90,70,50,50,50,50,70,50,70,70,50,70,50,90,50,70,70,50,110,70,70,50,50,70,50,50,90,50,50,90,1000,140,260,90
walmart affiliate program sign up,USD,210,-33%,23%,Low,28,0.89,2.74,,,,Y,,20,20,10,20,30,20,50,70,30,20,20,10,20,30,30,90,20,50,70,30,70,50,50,40,390,1600,480,480,390,390,210,210,320,320,170,260,210,480,590,110,70,140,210,170,590,480,210,320
refer a friend software,USD,70,0%,-20%,Low,30,9.57,48.37,50%,,,Y,,40,50,40,40,40,50,50,70,40,40,50,40,50,40,30,50,30,50,90,90,90,50,90,90,70,90,20,40,50,40,50,30,40,40,50,50,70,210,90,90,390,210,30,40,30,40,30,40
b2b affiliate marketing,USD,170,86%,129%,Low,9,6.61,22.91,11%,,,Y,,140,110,110,140,110,110,110,90,140,110,140,110,140,140,170,140,110,110,170,210,170,140,140,170,140,140,110,140,140,170,210,210,210,210,170,170,170,170,170,170,140,140,140,140,260,210,480,390
referral app,USD,390,0%,-19%,Low,26,2.20,15.00,34%,,,Y,,260,260,260,390,320,320,390,480,480,390,390,320,390,390,320,390,390,390,390,390,480,390,480,390,480,390,390,320,320,390,320,390,480,480,480,480,390,480,390,390,320,480,480,480,480,390,480,390
customer referral software,USD,40,67%,67%,Low,13,15.00,43.55,18%,,,Y,,20,30,20,40,10,20,20,30,30,40,40,30,30,20,10,40,20,20,40,30,30,40,40,40,50,30,20,50,50,40,40,30,40,30,50,30,30,40,40,30,40,40,90,320,110,30,50,50
b2b affiliate programs,USD,90,27%,100%,Low,27,5.95,25.33,24%,,,Y,,90,70,90,70,90,70,70,90,90,50,90,70,90,70,70,90,50,70,70,70,90,90,140,140,110,70,90,110,110,140,110,110,90,90,70,70,90,90,90,90,90,90,90,90,90,110,210,140
affiliate fraud detection,USD,50,57%,120%,Low,9,5.90,23.75,,,,,,40,30,30,30,30,30,20,40,30,40,50,70,70,90,70,70,40,50,70,110,70,70,90,50,50,40,30,30,30,30,40,40,30,20,30,50,20,30,30,30,50,40,20,40,110,70,140,110
affiliate advertising,USD,590,39%,69%,Low,11,4.63,20.31,4%,,,Y,,590,590,480,590,590,590,590,590,720,720,480,590,480,480,480,480,480,590,590,480,590,590,590,590,590,480,480,480,480,590,590,480,590,480,590,590,480,590,590,590,480,590,480,590,590,720,880,1000
impact affiliate brands,USD,40,0%,100%,Low,11,,,20%,,,Y,,20,20,40,30,40,70,50,50,90,70,50,50,40,30,70,30,40,70,30,30,70,70,50,50,90,90,90,70,50,40,70,40,20,20,20,10,10,10,10,10,20,40,20,20,10,20,70,20
referral marketing platform,USD,70,89%,143%,Low,9,13.80,42.21,9%,,,Y,,40,40,30,30,40,50,30,40,50,50,40,70,50,40,40,70,40,50,50,50,50,30,50,50,70,40,50,50,40,50,50,50,40,50,50,70,70,50,90,90,70,70,50,70,140,90,170,170
activate influencer,USD,480,-67%,-82%,Low,29,3.38,9.69,,,,,,480,480,390,390,480,390,590,880,1300,720,1000,2900,880,720,720,480,390,480,590,390,880,480,480,390,320,320,260,390,320,260,210,170,260,170,210,170,140,110,110,90,390,170,90,50,90,90,70,30
referral program platforms,USD,30,40%,133%,Medium,37,18.89,55.31,53%,,,,,10,10,10,20,20,20,10,10,30,20,40,20,40,30,20,30,10,30,30,10,30,30,20,30,40,20,20,20,30,20,30,30,20,40,30,30,40,40,30,20,30,30,140,70,40,50,70,70
client referral program,USD,480,22%,83%,Low,14,8.00,33.14,23%,,,,,390,390,390,390,390,390,390,390,480,390,480,390,390,390,390,390,320,390,390,390,480,480,480,480,590,390,320,480,390,390,390,390,480,480,480,480,480,390,390,480,390,480,480,880,1300,720,1000,880
impact affiliate pricing,USD,70,40%,75%,Medium,38,13.25,65.44,86%,,,Y,,20,30,30,20,20,20,20,20,30,20,40,30,40,50,50,70,50,50,40,30,40,40,50,70,70,50,50,70,50,70,50,50,40,70,70,40,50,50,70,110,50,90,590,170,720,50,50,70
tei report,USD,50,40%,-22%,Medium,54,6.46,14.60,,,,,,30,30,40,50,40,50,40,30,50,50,70,50,40,70,50,70,70,70,70,50,50,70,90,70,70,70,50,90,50,50,70,40,70,70,70,90,50,50,50,50,50,40,50,30,50,50,50,70
create a referral program,USD,90,-19%,55%,Low,16,6.80,28.91,24%,,,,,110,70,90,90,90,110,90,90,110,90,90,90,110,70,90,90,70,90,90,90,140,90,90,140,90,90,110,70,90,90,90,90,140,110,140,110,110,110,70,90,70,50,70,70,90,210,210,170
referral program software free,USD,90,22%,57%,Low,24,8.23,24.92,31%,,,Y,,90,70,90,50,50,50,90,50,70,90,90,50,50,70,70,90,90,70,70,70,110,50,70,40,70,70,70,50,70,70,70,40,90,110,90,70,70,110,90,110,170,260,480,70,170,90,110,110
affiliate marketing network,USD,2900,-19%,52%,Low,21,3.53,18.28,13%,,,Y,,1900,1900,1900,1900,1900,1900,1900,1900,2400,2400,2400,2400,2400,2400,2400,2900,2400,2900,2400,2900,3600,2400,2900,2900,2900,2900,2900,2900,2900,2900,2900,2400,2900,2400,2900,2900,2900,3600,2400,1900,1900,2400,2400,2400,2900,5400,9900,4400
affiliate program management,USD,210,23%,182%,Low,10,8.92,24.75,9%,,,Y,,210,210,210,260,210,170,170,210,210,210,170,260,210,170,260,260,170,140,210,140,140,170,140,170,260,140,140,170,170,260,260,210,170,140,140,170,110,140,210,210,170,390,320,390,390,390,480,480
partner marketing platform,USD,70,57%,450%,Low,11,12.00,35.74,,,,Y,,20,20,20,20,10,20,10,10,20,30,40,30,30,30,50,50,40,40,30,20,30,30,30,50,30,10,10,10,20,10,20,20,20,30,30,20,30,50,140,260,1600,170,30,40,50,70,90,110
affiliate business,USD,320,23%,85%,Low,10,1.30,7.09,< 1%,,,Y,,480,210,210,210,320,260,210,260,390,320,210,210,210,210,210,260,260,320,260,210,320,260,390,320,320,260,260,260,320,320,260,260,260,260,260,260,260,210,260,210,210,320,260,390,720,390,590,480
referral program examples,USD,480,22%,22%,Low,14,2.89,11.60,24%,,,,,260,260,260,320,390,390,390,390,480,390,480,390,390,320,320,390,320,390,390,320,590,480,590,590,590,480,590,590,590,590,480,390,590,480,590,590,480,480,480,480,480,390,1000,880,880,590,590,720
referral program for service business,USD,20,0%,0%,Low,29,8.00,32.19,30%,,,,,20,20,10,30,10,20,10,10,10,20,20,10,10,20,30,10,10,20,20,20,30,30,40,30,10,10,20,30,20,20,10,10,40,20,10,20,20,20,20,20,10,10,10,10,10,20,20,20
multi channel attribution,USD,140,91%,91%,Low,15,13.47,34.07,,,,Y,,140,110,110,110,110,140,90,110,170,170,170,170,210,170,140,170,110,140,110,110,110,140,170,140,140,90,90,90,110,140,90,50,110,110,90,110,70,70,50,70,90,140,210,140,170,110,210,210
forrester tei study,USD,70,29%,29%,Medium,49,8.99,23.59,,,,,,40,40,40,30,40,50,30,40,90,50,70,50,70,50,70,90,50,50,70,50,50,50,70,50,90,70,70,70,70,40,40,40,70,30,140,70,50,50,70,70,70,50,30,50,70,70,110,90
affiliate sales,USD,390,85%,85%,Low,12,1.70,13.16,9%,,,Y,,260,260,260,260,260,260,320,320,390,320,320,320,260,260,260,320,320,260,260,260,390,390,390,480,390,320,320,320,320,320,390,260,390,320,390,390,480,390,720,390,320,390,390,390,390,390,590,720
referral program tools,USD,20,0%,67%,Low,19,14.63,47.86,18%,,,,,30,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,20,30,20,20,30,30,20,10,20,20,10,20,10,10,20,10,10,30,20,30,20,20,10,20,20,10,30,50,40,50
referral program app,USD,90,22%,57%,Medium,39,5.22,24.15,42%,,,Y,,70,70,90,140,90,70,110,110,140,90,50,90,70,70,90,70,70,90,70,90,110,70,90,110,170,110,110,110,70,70,50,90,90,70,70,70,90,90,210,170,140,70,110,90,110,90,110,110
affiliate networks list,USD,110,21%,89%,Medium,36,2.53,12.20,3%,,,Y,,90,90,90,90,110,110,90,110,140,70,110,40,70,70,70,70,90,70,110,140,110,140,140,170,140,110,140,110,110,70,110,90,140,140,110,90,140,140,110,110,170,110,110,590,140,140,170,170
affiliate partners,USD,720,22%,22%,Low,16,3.72,17.41,12%,,,Y,,590,590,590,590,480,590,590,480,720,590,720,720,590,720,720,880,720,720,720,590,880,720,880,720,880,880,720,720,720,880,880,590,880,720,720,720,720,720,720,720,590,590,720,720,880,720,880,880
business referral program,USD,90,23%,540%,Low,14,10.00,46.08,17%,,,,,30,30,40,40,40,50,50,40,90,50,70,70,70,70,70,70,70,70,70,70,70,40,50,50,70,70,40,40,50,50,40,70,40,70,70,50,90,50,70,90,90,110,90,140,260,260,390,320
referral scheme,USD,20,0%,0%,Medium,37,7.75,23.93,80%,,,,,10,20,10,20,20,20,20,20,10,30,40,50,30,10,30,20,20,20,20,20,20,20,20,30,20,20,20,30,50,40,30,10,20,20,40,20,20,30,30,20,10,20,20,30,20,20,20,20
referral marketing strategy,USD,140,23%,88%,Low,3,2.79,14.38,6%,,,,,90,90,90,70,90,70,90,90,90,110,140,140,110,110,140,140,110,170,110,110,90,90,110,140,110,90,70,110,140,170,210,140,210,140,170,170,210,140,140,140,140,140,170,170,260,260,390,320
mta marketing,USD,170,22%,86%,Low,9,8.79,28.66,,,,,,140,210,210,170,170,140,170,140,170,170,210,170,170,170,170,170,170,170,140,110,170,170,170,170,170,210,140,170,140,170,140,140,170,210,170,210,210,210,170,170,170,170,170,210,210,320,320,390
affiliate marketing management,USD,110,133%,200%,Low,11,12.39,28.00,7%,,,Y,,110,110,70,90,70,90,70,70,140,110,140,170,170,90,140,140,90,90,90,110,70,70,90,70,90,40,70,70,90,110,90,40,110,70,90,70,50,50,90,110,90,140,140,170,170,90,170,210
free referral program,USD,110,56%,0%,Low,26,6.98,23.29,28%,,,Y,,90,50,90,70,70,50,50,90,110,90,70,70,90,70,90,110,70,70,90,70,110,110,140,110,110,90,90,110,140,110,110,110,140,210,140,140,140,170,320,210,210,90,140,210,210,90,140,140
affiliate agencies,USD,50,25%,25%,Medium,46,6.00,29.68,32%,,,Y,,50,70,40,40,50,30,40,20,30,40,30,40,50,50,30,50,50,30,30,30,70,40,50,40,50,40,30,50,40,40,40,40,50,40,40,40,50,40,90,70,40,70,140,50,50,40,40,50
multi touch attribution vendors,USD,50,40%,75%,Low,33,21.38,80.66,,,,Y,,70,90,90,140,70,90,70,70,70,70,90,90,70,40,40,70,30,30,20,30,30,50,40,20,40,40,40,40,30,40,40,30,50,40,40,40,70,50,30,30,50,40,30,30,40,50,50,70
affiliate marketing partners,USD,720,22%,22%,Low,16,3.72,17.41,12%,,,Y,,590,590,590,590,480,590,590,480,720,590,720,720,590,720,720,880,720,720,720,590,880,720,880,720,880,880,720,720,720,880,880,590,880,720,720,720,720,720,720,720,590,590,720,720,880,720,880,880
refer a friend platform,USD,90,-29%,0%,Low,6,17.89,54.82,12%,,,,,20,20,20,20,30,30,10,10,10,20,20,20,20,20,10,20,20,20,20,20,20,10,10,20,20,10,10,10,30,1000,2400,20,20,10,20,50,40,20,20,20,20,50,30,10,30,70,90,50
referral marketing tools,USD,110,21%,240%,Low,5,22.36,44.88,3%,,,Y,,10,20,20,30,20,20,10,20,40,30,20,40,30,30,20,30,50,50,20,20,20,40,30,20,30,10,10,2400,1300,20,20,20,30,30,30,50,50,30,20,30,30,20,40,70,140,140,210,170
best referral marketing software,USD,140,88%,256%,Low,9,12.00,46.47,15%,,,Y,,90,110,140,90,110,90,90,110,170,140,110,140,90,90,90,140,110,110,110,140,90,110,110,90,90,110,90,110,90,110,170,140,140,90,110,90,110,110,110,70,110,110,110,140,390,170,210,320
impact partnership cloud,USD,140,0%,0%,Low,18,,,60%,,,Y,,90,50,50,50,70,70,70,70,50,50,40,40,70,40,50,50,30,40,20,30,30,30,30,20,30,20,30,10,10,10,20,10,10,20,10,10,40,30,4400,40,50,10,20,10,20,10,10,10
digital marketing attribution,USD,170,191%,88%,Low,10,10.00,40.73,,,,Y,,170,140,140,170,170,170,110,140,140,170,210,170,210,170,140,210,140,170,140,140,170,170,170,170,170,110,110,170,140,140,110,110,110,140,170,170,170,90,110,90,110,170,210,210,170,110,210,320
impact radius marketplace,USD,50,0%,-50%,Low,17,,,10%,,,Y,,50,40,40,30,50,50,50,40,40,40,30,50,40,30,30,40,40,30,20,30,30,10,40,50,30,40,40,40,30,30,40,30,30,30,20,20,30,20,40,90,20,70,480,10,10,10,70,10
attribution models in digital marketing,USD,30,0%,0%,Medium,42,4.63,22.57,,,,Y,,20,10,10,10,10,10,10,20,10,20,30,30,20,30,20,40,30,20,30,30,30,40,30,40,40,20,20,20,20,40,30,10,20,30,40,50,30,30,20,30,30,30,10,20,30,50,40,50
referral campaign,USD,90,27%,27%,Low,15,5.63,26.11,21%,,,Y,,110,90,70,90,90,90,90,90,140,90,140,90,110,90,70,110,110,90,110,90,110,90,170,90,90,70,70,70,70,70,90,70,90,90,90,110,70,90,90,110,90,110,110,90,140,110,170,140
best affiliate platform,USD,390,23%,127%,Medium,45,2.23,22.13,23%,,,Y,,260,260,320,320,320,390,320,320,390,320,320,260,480,590,390,390,320,320,260,320,390,260,320,320,320,320,320,320,260,320,390,390,480,320,320,260,260,260,1300,720,210,260,320,320,390,480,480,590
free referral software,USD,110,56%,0%,Low,26,6.98,23.29,28%,,,Y,,90,50,90,70,70,50,50,90,110,90,70,70,90,70,90,110,70,70,90,70,110,110,140,110,110,90,90,110,140,110,110,110,140,210,140,140,140,170,320,210,210,90,140,210,210,90,140,140
b2b affiliate networks,USD,40,25%,25%,Low,20,10.82,27.23,22%,,,Y,,50,50,50,70,70,40,50,70,70,40,40,20,20,20,20,20,20,20,20,20,30,30,30,50,40,20,20,30,10,20,10,20,40,30,30,40,40,30,30,20,20,30,40,50,70,40,70,50
cross channel attribution,USD,110,88%,129%,Low,5,14.14,35.40,,,,Y,,110,90,90,140,110,110,70,70,110,110,110,140,110,110,90,140,90,90,70,90,110,110,140,110,110,70,40,70,140,170,210,90,90,110,110,140,110,90,90,110,110,170,140,170,170,170,320,320
affiliate referral program,USD,210,22%,86%,Low,13,4.63,21.29,19%,,,,,170,210,170,260,210,210,170,210,210,170,140,140,140,170,170,170,170,210,260,210,210,170,210,260,320,170,170,260,210,260,170,170,260,260,210,210,260,210,210,170,140,210,480,320,390,320,390,390
affiliate saas,USD,140,23%,191%,Low,14,2.64,11.15,5%,,,Y,,50,40,40,50,40,40,40,50,90,50,70,70,90,90,70,90,90,110,140,110,110,110,140,170,170,90,90,90,90,110,140,140,170,140,170,110,140,210,170,210,210,170,140,170,260,260,320,320
partner marketing software,USD,40,55%,750%,Low,10,12.71,35.00,< 1%,,,Y,,20,10,10,10,10,10,10,10,10,10,20,30,20,10,40,20,40,30,20,10,20,30,20,110,70,30,10,10,40,20,50,20,40,30,40,20,30,70,50,50,50,50,40,50,170,110,110,170
multi touch marketing attribution,USD,1300,23%,23%,Medium,38,11.66,29.36,,,,,,1300,1300,1300,1300,1300,1300,1300,1000,1600,1600,1600,1600,1600,1600,1600,1900,1600,1600,1600,1000,1300,1600,1900,1300,1300,1300,1300,1300,1300,1300,1300,880,1000,1300,1300,1300,1600,1000,1000,1000,1000,1300,1300,1000,1300,1300,1600,1600
